imu_packets,1245
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580957078.782027,-0.00586,-0.00739,-0.97742,0.21118,0.0521
1580957078.7863748,-0.00610,-0.00732,-0.97736,0.21149,0.0521
1580957078.7903879,-0.00659,-0.00757,-0.97723,0.21198,0.0521
1580957078.803991,-0.00690,-0.00775,-0.97717,0.21228,0.0521
1580957078.805884,-0.00720,-0.00793,-0.97705,0.21265,0.0521
1580957078.821706,-0.00751,-0.00812,-0.97699,0.21295,0.0521
1580957078.821713,-0.00781,-0.00842,-0.97693,0.21326,0.0521
1580957078.826771,-0.00818,-0.00873,-0.97687,0.21362,0.0521
1580957078.8325162,-0.00848,-0.00903,-0.97675,0.21399,0.0521
1580957078.832774,-0.00909,-0.00970,-0.97662,0.21460,0.0521
1580957078.842547,-0.00946,-0.01013,-0.97650,0.21497,0.0522
1580957078.8517241,-0.00983,-0.01050,-0.97644,0.21527,0.0522
1580957078.8595169,-0.01007,-0.01080,-0.97638,0.21558,0.0522
1580957078.859638,-0.01038,-0.01117,-0.97632,0.21582,0.0522
1580957078.859642,-0.01068,-0.01154,-0.97626,0.21613,0.0522
1580957078.8663418,-0.01099,-0.01178,-0.97620,0.21637,0.0522
1580957078.873547,-0.01147,-0.01233,-0.97607,0.21686,0.0523
1580957078.8809888,-0.01178,-0.01257,-0.97601,0.21704,0.0523
1580957078.886728,-0.01208,-0.01282,-0.97595,0.21722,0.0523
1580957078.886822,-0.01233,-0.01300,-0.97595,0.21735,0.0523
1580957078.89612,-0.01257,-0.01324,-0.97589,0.21747,0.0523
1580957078.903581,-0.01282,-0.01355,-0.97583,0.21759,0.0523
1580957078.907443,-0.01306,-0.01385,-0.97583,0.21771,0.0523
1580957078.91759,-0.01337,-0.01459,-0.97577,0.21790,0.0523
1580957078.923475,-0.01349,-0.01495,-0.97577,0.21796,0.0523
1580957078.92468,-0.01355,-0.01526,-0.97571,0.21802,0.0523
1580957078.933967,-0.01361,-0.01563,-0.97571,0.21802,0.0523
1580957078.933978,-0.01367,-0.01587,-0.97571,0.21802,0.0523
1580957078.9409559,-0.01367,-0.01605,-0.97571,0.21802,0.0523
1580957078.950336,-0.01361,-0.01624,-0.97571,0.21796,0.0523
1580957078.953405,-0.01349,-0.01642,-0.97577,0.21783,0.0524
1580957078.9579468,-0.01318,-0.01672,-0.97577,0.21765,0.0524
1580957078.9654531,-0.01300,-0.01691,-0.97583,0.21753,0.0524
1580957078.966228,-0.01282,-0.01709,-0.97583,0.21741,0.0524
1580957078.97134,-0.01257,-0.01721,-0.97589,0.21729,0.0524
1580957078.983968,-0.01233,-0.01733,-0.97589,0.21722,0.0524
1580957078.9868999,-0.01202,-0.01746,-0.97589,0.21710,0.0524
1580957079.004687,-0.01172,-0.01758,-0.97595,0.21704,0.0524
1580957079.004697,-0.01147,-0.01770,-0.97595,0.21692,0.0524
1580957079.0047,-0.01111,-0.01770,-0.97595,0.21686,0.0524
1580957079.00487,-0.01056,-0.01758,-0.97601,0.21674,0.0524
1580957079.0151,-0.01031,-0.01746,-0.97601,0.21667,0.0524
1580957079.018038,-0.01001,-0.01721,-0.97601,0.21667,0.0524
1580957079.021238,-0.00970,-0.01703,-0.97607,0.21661,0.0525
1580957079.034716,-0.00946,-0.01672,-0.97607,0.21661,0.0525
1580957079.041483,-0.00916,-0.01636,-0.97607,0.21661,0.0525
1580957079.0469701,-0.00891,-0.01599,-0.97607,0.21661,0.0525
1580957079.0553238,-0.00867,-0.01556,-0.97607,0.21661,0.0525
1580957079.055372,-0.00824,-0.01471,-0.97607,0.21674,0.0525
1580957079.0553758,-0.00806,-0.01422,-0.97607,0.21686,0.0525
1580957079.060885,-0.00787,-0.01373,-0.97607,0.21698,0.0526
1580957079.07371,-0.00775,-0.01331,-0.97601,0.21710,0.0526
1580957079.073835,-0.00763,-0.01270,-0.97601,0.21729,0.0526
1580957079.0787158,-0.00751,-0.01227,-0.97595,0.21747,0.0526
1580957079.087214,-0.00739,-0.01172,-0.97589,0.21771,0.0526
1580957079.102617,-0.00732,-0.01117,-0.97589,0.21796,0.0526
1580957079.105304,-0.00726,-0.01074,-0.97583,0.21820,0.0526
1580957079.105312,-0.00720,-0.00983,-0.97571,0.21875,0.0526
1580957079.1058931,-0.00720,-0.00928,-0.97565,0.21912,0.0526
1580957079.111018,-0.00714,-0.00891,-0.97559,0.21942,0.0526
1580957079.120281,-0.00714,-0.00842,-0.97546,0.21985,0.0526
1580957079.1302998,-0.00708,-0.00806,-0.97540,0.22015,0.0526
1580957079.130311,-0.00708,-0.00763,-0.97534,0.22052,0.0526
1580957079.133612,-0.00702,-0.00739,-0.97528,0.22083,0.0527
1580957079.140508,-0.00702,-0.00702,-0.97516,0.22119,0.0527
1580957079.148705,-0.00696,-0.00659,-0.97504,0.22186,0.0527
1580957079.15032,-0.00690,-0.00647,-0.97498,0.22217,0.0527
1580957079.157567,-0.00684,-0.00635,-0.97491,0.22247,0.0527
1580957079.1626182,-0.00671,-0.00629,-0.97479,0.22284,0.0527
1580957079.167539,-0.00665,-0.00635,-0.97473,0.22308,0.0527
1580957079.174051,-0.00653,-0.00647,-0.97467,0.22339,0.0528
1580957079.178477,-0.00641,-0.00665,-0.97461,0.22369,0.0528
1580957079.18605,-0.00623,-0.00690,-0.97455,0.22400,0.0528
1580957079.189058,-0.00592,-0.00745,-0.97443,0.22449,0.0528
1580957079.1995351,-0.00568,-0.00781,-0.97437,0.22479,0.0528
1580957079.203416,-0.00549,-0.00824,-0.97430,0.22504,0.0528
1580957079.2079098,-0.00531,-0.00861,-0.97424,0.22528,0.0528
1580957079.219549,-0.00513,-0.00903,-0.97418,0.22552,0.0528
1580957079.219554,-0.00494,-0.00946,-0.97412,0.22577,0.0528
1580957079.22703,-0.00482,-0.00989,-0.97406,0.22601,0.0528
1580957079.2280362,-0.00464,-0.01031,-0.97400,0.22620,0.0528
1580957079.23356,-0.00439,-0.01117,-0.97388,0.22668,0.0528
1580957079.239684,-0.00433,-0.01160,-0.97382,0.22693,0.0528
1580957079.2512262,-0.00421,-0.01196,-0.97382,0.22711,0.0529
1580957079.254265,-0.00415,-0.01245,-0.97375,0.22729,0.0529
1580957079.272056,-0.00409,-0.01288,-0.97369,0.22748,0.0529
1580957079.2720609,-0.00403,-0.01337,-0.97363,0.22772,0.0529
1580957079.272064,-0.00397,-0.01392,-0.97357,0.22791,0.0529
1580957079.277357,-0.00397,-0.01440,-0.97351,0.22809,0.0529
1580957079.280134,-0.00391,-0.01544,-0.97345,0.22839,0.0529
1580957079.287113,-0.00391,-0.01605,-0.97339,0.22858,0.0529
1580957079.29141,-0.00391,-0.01660,-0.97333,0.22876,0.0529
1580957079.299144,-0.00391,-0.01721,-0.97327,0.22888,0.0529
1580957079.309394,-0.00391,-0.01776,-0.97327,0.22906,0.0529
1580957079.3103979,-0.00397,-0.01831,-0.97321,0.22919,0.0529
1580957079.316025,-0.00403,-0.01880,-0.97314,0.22931,0.0529
1580957079.318068,-0.00421,-0.01971,-0.97308,0.22955,0.0530
1580957079.325432,-0.00427,-0.02008,-0.97308,0.22961,0.0530
1580957079.333796,-0.00439,-0.02039,-0.97302,0.22974,0.0530
1580957079.339672,-0.00446,-0.02069,-0.97302,0.22980,0.0530
1580957079.350914,-0.00458,-0.02094,-0.97302,0.22986,0.0530
1580957079.354665,-0.00464,-0.02112,-0.97296,0.22986,0.0530
1580957079.355668,-0.00470,-0.02130,-0.97296,0.22986,0.0530
1580957079.3611798,-0.00476,-0.02136,-0.97296,0.22986,0.0531
1580957079.36623,-0.00482,-0.02142,-0.97296,0.22980,0.0531
1580957079.376129,-0.00488,-0.02136,-0.97302,0.22974,0.0531
1580957079.376138,-0.00494,-0.02124,-0.97302,0.22961,0.0531
1580957079.386646,-0.00494,-0.02106,-0.97308,0.22949,0.0531
1580957079.386684,-0.00488,-0.02087,-0.97308,0.22937,0.0531
1580957079.398539,-0.00482,-0.02069,-0.97314,0.22925,0.0531
1580957079.407541,-0.00476,-0.02057,-0.97321,0.22906,0.0531
1580957079.412519,-0.00458,-0.02045,-0.97321,0.22888,0.0531
1580957079.412566,-0.00439,-0.02039,-0.97327,0.22876,0.0531
1580957079.413104,-0.00415,-0.02032,-0.97333,0.22852,0.0531
1580957079.426222,-0.00354,-0.02026,-0.97345,0.22809,0.0531
1580957079.431283,-0.00323,-0.02014,-0.97351,0.22778,0.0531
1580957079.443251,-0.00293,-0.02002,-0.97357,0.22748,0.0532
1580957079.4436421,-0.00262,-0.01990,-0.97363,0.22717,0.0532
1580957079.4436522,-0.00238,-0.01978,-0.97375,0.22681,0.0532
1580957079.4468899,-0.00208,-0.01965,-0.97382,0.22644,0.0532
1580957079.459085,-0.00177,-0.01953,-0.97394,0.22601,0.0532
1580957079.4648361,-0.00153,-0.01941,-0.97406,0.22559,0.0532
1580957079.470009,-0.00140,-0.01935,-0.97412,0.22516,0.0532
1580957079.4724019,-0.00122,-0.01923,-0.97424,0.22467,0.0532
1580957079.48239,-0.00098,-0.01923,-0.97443,0.22388,0.0532
1580957079.4824,-0.00085,-0.01929,-0.97455,0.22345,0.0532
1580957079.4864268,-0.00079,-0.01947,-0.97461,0.22308,0.0532
1580957079.4914181,-0.00073,-0.01971,-0.97467,0.22272,0.0532
1580957079.496961,-0.00067,-0.02008,-0.97473,0.22241,0.0532
1580957079.507021,-0.00067,-0.02045,-0.97485,0.22198,0.0532
1580957079.51087,-0.00067,-0.02075,-0.97491,0.22168,0.0533
1580957079.514834,-0.00079,-0.02136,-0.97504,0.22107,0.0533
1580957079.531619,-0.00092,-0.02161,-0.97510,0.22076,0.0533
