imu_packets,1269
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580950523.733223,-0.01154,0.01093,0.99969,0.02008,0.0140
1580950523.733231,-0.01160,0.01080,0.99969,0.02020,0.0140
1580950523.733235,-0.01166,0.01068,0.99969,0.02051,0.0140
1580950523.7424011,-0.01166,0.01056,0.99963,0.02063,0.0140
1580950523.748286,-0.01166,0.01050,0.99963,0.02081,0.0140
1580950523.763221,-0.01172,0.01044,0.99963,0.02094,0.0140
1580950523.763232,-0.01172,0.01044,0.99963,0.02106,0.0140
1580950523.7646148,-0.01172,0.01038,0.99963,0.02118,0.0140
1580950523.7753978,-0.01172,0.01031,0.99963,0.02130,0.0140
1580950523.77985,-0.01172,0.01031,0.99963,0.02142,0.0140
1580950523.784147,-0.01172,0.01031,0.99963,0.02155,0.0140
1580950523.7844758,-0.01172,0.01025,0.99963,0.02167,0.0140
1580950523.7912278,-0.01172,0.01025,0.99963,0.02179,0.0140
1580950523.8074949,-0.01172,0.01019,0.99963,0.02197,0.0140
1580950523.815155,-0.01172,0.01019,0.99963,0.02203,0.0140
1580950523.8151748,-0.01172,0.01019,0.99963,0.02216,0.0140
1580950523.823895,-0.01172,0.01019,0.99963,0.02222,0.0140
1580950523.823911,-0.01178,0.01019,0.99963,0.02228,0.0140
1580950523.8296168,-0.01178,0.01025,0.99963,0.02234,0.0140
1580950523.843821,-0.01178,0.01025,0.99963,0.02240,0.0140
1580950523.853357,-0.01184,0.01025,0.99963,0.02240,0.0139
1580950523.853365,-0.01184,0.01025,0.99963,0.02246,0.0139
1580950523.853369,-0.01190,0.01031,0.99963,0.02246,0.0139
1580950523.854849,-0.01196,0.01031,0.99963,0.02252,0.0140
1580950523.85486,-0.01202,0.01031,0.99963,0.02252,0.0140
1580950523.863501,-0.01208,0.01025,0.99963,0.02258,0.0139
1580950523.867656,-0.01208,0.01025,0.99963,0.02258,0.0139
1580950523.877097,-0.01215,0.01025,0.99963,0.02264,0.0139
1580950523.877105,-0.01221,0.01025,0.99963,0.02264,0.0139
1580950523.8839302,-0.01221,0.01025,0.99963,0.02271,0.0139
1580950523.891498,-0.01227,0.01019,0.99963,0.02271,0.0139
1580950523.894114,-0.01227,0.01013,0.99963,0.02277,0.0139
1580950523.90039,-0.01233,0.01013,0.99963,0.02283,0.0139
1580950523.910866,-0.01233,0.01007,0.99963,0.02283,0.0139
1580950523.9150562,-0.01239,0.01001,0.99963,0.02289,0.0139
1580950523.916992,-0.01239,0.00989,0.99963,0.02301,0.0139
1580950523.928223,-0.01239,0.00989,0.99963,0.02307,0.0139
1580950523.928231,-0.01239,0.00989,0.99963,0.02307,0.0139
1580950523.934035,-0.01239,0.00989,0.99963,0.02313,0.0139
1580950523.9452229,-0.01239,0.00989,0.99963,0.02319,0.0139
1580950523.9489331,-0.01239,0.00995,0.99957,0.02325,0.0139
1580950523.951948,-0.01239,0.00995,0.99957,0.02332,0.0139
1580950523.956335,-0.01239,0.01001,0.99957,0.02338,0.0139
1580950523.961622,-0.01239,0.01007,0.99957,0.02344,0.0139
1580950523.9668128,-0.01233,0.01013,0.99957,0.02344,0.0139
1580950523.976387,-0.01233,0.01025,0.99957,0.02350,0.0139
