imu_packets,1279
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596612533.119667,B440567,0.02643,0.02179,-0.99652,0.07605,0.0125
1596612533.125136,B440572,0.02643,0.02179,-0.99652,0.07605,0.0125
1596612533.129618,B440577,0.02643,0.02179,-0.99652,0.07605,0.0125
1596612533.1344252,B440582,0.02643,0.02185,-0.99652,0.07599,0.0125
1596612533.139441,B440587,0.02643,0.02185,-0.99652,0.07599,0.0125
1596612533.145417,B440592,0.02643,0.02185,-0.99652,0.07599,0.0125
1596612533.149355,B440597,0.02643,0.02185,-0.99652,0.07593,0.0125
1596612533.154552,B440602,0.02643,0.02185,-0.99652,0.07593,0.0125
1596612533.160432,B440607,0.02637,0.02185,-0.99652,0.07593,0.0125
1596612533.16499,B440612,0.02637,0.02185,-0.99652,0.07593,0.0125
1596612533.170621,B440617,0.02637,0.02185,-0.99652,0.07587,0.0125
1596612533.174881,B440622,0.02637,0.02185,-0.99652,0.07587,0.0125
1596612533.179903,B440627,0.02637,0.02185,-0.99652,0.07587,0.0125
1596612533.185487,B440632,0.02631,0.02185,-0.99652,0.07587,0.0125
1596612533.190315,B440637,0.02631,0.02179,-0.99652,0.07587,0.0125
1596612533.1951559,B440642,0.02631,0.02179,-0.99652,0.07587,0.0125
1596612533.199808,B440647,0.02631,0.02179,-0.99652,0.07587,0.0125
1596612533.205523,B440653,0.02631,0.02173,-0.99652,0.07587,0.0125
1596612533.213119,B440659,0.02631,0.02173,-0.99652,0.07587,0.0125
1596612533.2184188,B440664,0.02631,0.02167,-0.99652,0.07587,0.0125
1596612533.221898,B440669,0.02631,0.02167,-0.99652,0.07587,0.0125
1596612533.229088,B440675,0.02631,0.02161,-0.99652,0.07587,0.0125
1596612533.233602,B440680,0.02631,0.02155,-0.99652,0.07587,0.0125
1596612533.238251,B440686,0.02631,0.02155,-0.99652,0.07593,0.0125
1596612533.2451358,B440691,0.02631,0.02148,-0.99652,0.07593,0.0125
1596612533.248797,B440696,0.02631,0.02148,-0.99652,0.07593,0.0125
1596612533.254049,B440701,0.02631,0.02142,-0.99652,0.07593,0.0125
1596612533.2587268,B440706,0.02631,0.02136,-0.99652,0.07593,0.0125
1596612533.263724,B440711,0.02631,0.02136,-0.99652,0.07593,0.0125
1596612533.269759,B440716,0.02631,0.02130,-0.99652,0.07593,0.0125
1596612533.2737658,B440721,0.02631,0.02124,-0.99652,0.07593,0.0125
1596612533.279914,B440726,0.02631,0.02118,-0.99652,0.07593,0.0125
1596612533.288321,B440731,0.02631,0.02112,-0.99652,0.07593,0.0125
1596612533.290279,B440736,0.02631,0.02106,-0.99652,0.07593,0.0125
1596612533.293828,B440741,0.02631,0.02100,-0.99652,0.07599,0.0125
1596612533.29916,B440747,0.02631,0.02100,-0.99652,0.07599,0.0125
1596612533.3050199,B440752,0.02625,0.02087,-0.99652,0.07599,0.0125
