quatI,quatJ,quatK,quatReal,quatRadianAccuracy,zmq_X,zmq_Y,zmq_confidence,IMUtimestamp
0.02167,-0.11530,-0.98468,0.12909,0.01648,0.5243662413408006,0.2130989057547611,0.9969905692945586,1580792164.600437
0.02130,-0.11493,-0.98468,0.12933,0.01648,0.524159873607642,0.213258884922094,0.9987866060438496,1580792164.606163
0.02094,-0.11450,-0.98468,0.12964,0.01648,0.523717468474289,0.2117826119947217,0.9987660522838551,1580792164.613347
0.02063,-0.11414,-0.98474,0.12988,0.01648,0.523717468474289,0.2117826119947217,0.9987660522838551,1580792164.615927
0.02032,-0.11383,-0.98474,0.13013,0.01648,0.5261444471959575,0.21257702759982233,0.999595062908933,1580792164.6218219
0.01996,-0.11340,-0.98474,0.13043,0.01648,0.5261444471959575,0.21257702759982233,0.999595062908933,1580792164.62961
0.01965,-0.11304,-0.98474,0.13068,0.01648,0.5262948970642902,0.21275642365181457,0.9989754400429945,1580792164.633976
0.01935,-0.11273,-0.98474,0.13098,0.01648,0.5265756548434458,0.2117045007468603,0.9988550219492977,1580792164.641887
0.01904,-0.11243,-0.98480,0.13123,0.01648,0.5272850844955667,0.2109608364363551,0.9999993730723274,1580792164.649833
0.01880,-0.11212,-0.98480,0.13153,0.01648,0.5272850844955667,0.2109608364363551,0.9999993730723274,1580792164.654475
0.01855,-0.11188,-0.98474,0.13177,0.01648,0.5284286647998894,0.2109734493741624,0.9986534158746764,1580792164.663131
0.01813,-0.11145,-0.98474,0.13232,0.01648,0.5283780613915458,0.21096303839868158,0.9992221309797094,1580792164.665046
0.01794,-0.11127,-0.98474,0.13257,0.01648,0.5283780613915458,0.21096303839868158,0.9992221309797094,1580792164.667996
0.01782,-0.11108,-0.98474,0.13281,0.01648,0.5284733095402083,0.2106544268145466,0.9991827516754817,1580792164.6751099
0.01776,-0.11096,-0.98474,0.13306,0.01648,0.5284733095402083,0.2106544268145466,0.9991827516754817,1580792164.6805608
0.01770,-0.11090,-0.98468,0.13324,0.01648,0.5290521400388639,0.21057312661186367,0.9995529341028441,1580792164.6857119
0.01776,-0.11084,-0.98468,0.13348,0.01648,0.5300679900177895,0.21196361179942214,0.9993696667377556,1580792164.701452
0.01776,-0.11078,-0.98468,0.13367,0.01648,0.5300604166618921,0.21124763225977083,0.9983481254191516,1580792164.715743
