imu_packets,1177
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1581655294.444433,0.01990,-0.00037,-0.99463,0.10168,0.0120
1581655294.447158,0.01996,-0.00043,-0.99463,0.10175,0.0120
1581655294.4531252,0.01996,-0.00049,-0.99463,0.10181,0.0120
1581655294.4592278,0.01996,-0.00049,-0.99463,0.10181,0.0120
1581655294.463704,0.02002,-0.00055,-0.99457,0.10187,0.0120
1581655294.46947,0.02002,-0.00055,-0.99457,0.10193,0.0120
1581655294.4758,0.02008,-0.00061,-0.99457,0.10193,0.0120
1581655294.481267,0.02008,-0.00067,-0.99457,0.10199,0.0120
1581655294.485423,0.02014,-0.00073,-0.99457,0.10205,0.0120
1581655294.491814,0.02014,-0.00073,-0.99457,0.10205,0.0120
1581655294.4962308,0.02020,-0.00079,-0.99457,0.10205,0.0120
1581655294.502202,0.02020,-0.00085,-0.99457,0.10205,0.0120
1581655294.507395,0.02026,-0.00085,-0.99457,0.10205,0.0120
1581655294.51567,0.02026,-0.00092,-0.99457,0.10199,0.0120
1581655294.518601,0.02032,-0.00098,-0.99457,0.10199,0.0120
1581655294.525543,0.02032,-0.00098,-0.99457,0.10193,0.0120
1581655294.5298991,0.02032,-0.00104,-0.99457,0.10193,0.0120
1581655294.535116,0.02039,-0.00104,-0.99457,0.10187,0.0120
1581655294.540375,0.02039,-0.00110,-0.99457,0.10181,0.0120
1581655294.547328,0.02045,-0.00110,-0.99463,0.10175,0.0120
1581655294.553269,0.02045,-0.00116,-0.99463,0.10168,0.0120
1581655294.55735,0.02045,-0.00116,-0.99463,0.10168,0.0120
1581655294.563016,0.02045,-0.00116,-0.99463,0.10162,0.0120
1581655294.5684638,0.02045,-0.00122,-0.99463,0.10156,0.0120
1581655294.574056,0.02045,-0.00122,-0.99463,0.10156,0.0120
1581655294.579255,0.02045,-0.00122,-0.99463,0.10150,0.0120
1581655294.5877671,0.02045,-0.00122,-0.99463,0.10144,0.0120
1581655294.590496,0.02045,-0.00128,-0.99463,0.10144,0.0120
1581655294.596753,0.02045,-0.00128,-0.99463,0.10132,0.0120
1581655294.601132,0.02039,-0.00134,-0.99463,0.10132,0.0120
1581655294.608181,0.02039,-0.00134,-0.99463,0.10126,0.0120
1581655294.613012,0.02032,-0.00134,-0.99463,0.10120,0.0120
1581655294.619811,0.02032,-0.00140,-0.99463,0.10120,0.0120
1581655294.623552,0.02032,-0.00140,-0.99469,0.10120,0.0120
1581655294.629384,0.02032,-0.00146,-0.99469,0.10120,0.0120
1581655294.634885,0.02032,-0.00153,-0.99469,0.10114,0.0120
1581655294.6403599,0.02032,-0.00153,-0.99469,0.10114,0.0120
1581655294.64566,0.02032,-0.00159,-0.99469,0.10114,0.0120
1581655294.651459,0.02032,-0.00165,-0.99469,0.10114,0.0120
1581655294.656134,0.02032,-0.00165,-0.99469,0.10120,0.0120
1581655294.6616309,0.02032,-0.00165,-0.99463,0.10120,0.0120
1581655294.668959,0.02032,-0.00165,-0.99463,0.10120,0.0120
1581655294.67573,0.02039,-0.00159,-0.99463,0.10120,0.0120
1581655294.67921,0.02039,-0.00159,-0.99463,0.10126,0.0120
1581655294.684018,0.02039,-0.00159,-0.99463,0.10126,0.0119
1581655294.6896389,0.02039,-0.00153,-0.99463,0.10132,0.0120
1581655294.695951,0.02039,-0.00153,-0.99463,0.10132,0.0119
1581655294.701618,0.02039,-0.00146,-0.99463,0.10138,0.0120
1581655294.706711,0.02045,-0.00146,-0.99463,0.10144,0.0119
1581655294.713587,0.02045,-0.00140,-0.99463,0.10144,0.0119
1581655294.717966,0.02045,-0.00140,-0.99463,0.10150,0.0120
1581655294.7250712,0.02045,-0.00140,-0.99463,0.10150,0.0119
1581655294.7296,0.02045,-0.00134,-0.99463,0.10150,0.0119
1581655294.736862,0.02045,-0.00134,-0.99463,0.10156,0.0119
1581655294.740226,0.02051,-0.00128,-0.99463,0.10156,0.0119
1581655294.745468,0.02051,-0.00122,-0.99463,0.10156,0.0119
1581655294.752564,0.02051,-0.00116,-0.99463,0.10156,0.0119
1581655294.757324,0.02051,-0.00110,-0.99463,0.10156,0.0119
1581655294.763558,0.02051,-0.00110,-0.99463,0.10156,0.0119
1581655294.768739,0.02051,-0.00104,-0.99463,0.10156,0.0119
1581655294.7736661,0.02051,-0.00092,-0.99463,0.10156,0.0119
1581655294.779947,0.02051,-0.00085,-0.99463,0.10156,0.0119
1581655294.784737,0.02057,-0.00079,-0.99463,0.10156,0.0119
1581655294.790111,0.02057,-0.00067,-0.99463,0.10150,0.0119
1581655294.796503,0.02057,-0.00055,-0.99463,0.10150,0.0119
1581655294.8041852,0.02057,-0.00049,-0.99463,0.10144,0.0119
1581655294.807389,0.02063,-0.00043,-0.99463,0.10144,0.0119
1581655294.8124428,0.02063,-0.00037,-0.99463,0.10144,0.0119
1581655294.8179572,0.02069,-0.00031,-0.99463,0.10138,0.0119
