imu_packets,1263
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596084381.7853582,B949577,0.08911,0.06744,-0.98486,0.13232,0.0218
1596084381.7918131,B949583,0.08929,0.06769,-0.98492,0.13159,0.0218
1596084381.794763,B949588,0.08942,0.06799,-0.98505,0.13086,0.0218
1596084381.800593,B949593,0.08960,0.06830,-0.98511,0.13007,0.0218
1596084381.8057249,B949598,0.08978,0.06854,-0.98517,0.12933,0.0218
1596084381.811303,B949604,0.08990,0.06873,-0.98523,0.12860,0.0219
1596084381.8160992,B949609,0.09003,0.06897,-0.98529,0.12781,0.0219
1596084381.837062,B949614,0.09015,0.06915,-0.98535,0.12708,0.0219
1596084381.8370829,B949620,0.09021,0.06927,-0.98541,0.12640,0.0219
1596084381.837095,B949626,0.09033,0.06940,-0.98547,0.12579,0.0219
1596084381.837687,B949631,0.09039,0.06952,-0.98560,0.12512,0.0219
1596084381.844455,B949636,0.09045,0.06964,-0.98566,0.12445,0.0219
1596084381.852036,B949641,0.09045,0.06970,-0.98572,0.12378,0.0219
1596084381.854052,B949647,0.09052,0.06982,-0.98578,0.12323,0.0219
1596084381.8624918,B949652,0.09058,0.06995,-0.98590,0.12201,0.0219
1596084381.864612,B949657,0.09058,0.07007,-0.98596,0.12146,0.0219
1596084381.868756,B949662,0.09058,0.07013,-0.98602,0.12097,0.0219
1596084381.873934,B949667,0.09058,0.07019,-0.98608,0.12048,0.0219
1596084381.878964,B949672,0.09052,0.07031,-0.98615,0.12000,0.0219
1596084381.885468,B949677,0.09045,0.07037,-0.98621,0.11951,0.0219
1596084381.888813,B949682,0.09039,0.07050,-0.98627,0.11908,0.0219
1596084381.899691,B949687,0.09033,0.07062,-0.98633,0.11865,0.0219
1596084381.900218,B949692,0.09021,0.07074,-0.98633,0.11823,0.0219
1596084381.90395,B949697,0.09009,0.07086,-0.98639,0.11786,0.0219
1596084381.911225,B949702,0.09003,0.07098,-0.98645,0.11755,0.0219
1596084381.921838,B949707,0.08984,0.07117,-0.98645,0.11719,0.0219
1596084381.921856,B949712,0.08972,0.07135,-0.98651,0.11688,0.0219
1596084381.928376,B949717,0.08960,0.07153,-0.98657,0.11658,0.0219
1596084381.9290838,B949722,0.08948,0.07166,-0.98657,0.11633,0.0219
1596084381.934719,B949727,0.08929,0.07184,-0.98657,0.11609,0.0219
1596084381.939195,B949732,0.08917,0.07196,-0.98663,0.11591,0.0219
1596084381.9445708,B949737,0.08905,0.07208,-0.98663,0.11572,0.0219
1596084381.959084,B949742,0.08887,0.07220,-0.98669,0.11554,0.0219
1596084381.959102,B949747,0.08875,0.07220,-0.98669,0.11536,0.0219
1596084381.960115,B949753,0.08862,0.07227,-0.98676,0.11523,0.0219
1596084381.9684522,B949758,0.08856,0.07227,-0.98676,0.11511,0.0218
1596084381.971756,B949764,0.08844,0.07227,-0.98676,0.11499,0.0218
1596084381.9854012,B949769,0.08838,0.07227,-0.98682,0.11487,0.0218
1596084381.985419,B949775,0.08832,0.07220,-0.98682,0.11481,0.0218
