imu_packets,1263
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596526412.076111,B1602265,0.02698,-0.02777,-0.99591,0.08167,0.0249
1596526412.082009,B1602270,0.02692,-0.02716,-0.99591,0.08173,0.0249
1596526412.086554,B1602275,0.02686,-0.02655,-0.99591,0.08179,0.0249
1596526412.091754,B1602280,0.02679,-0.02582,-0.99597,0.08185,0.0249
1596526412.0962298,B1602285,0.02667,-0.02521,-0.99597,0.08185,0.0249
1596526412.1020858,B1602291,0.02667,-0.02521,-0.99591,0.08221,0.0249
1596526412.107876,B1602296,0.02667,-0.02521,-0.99591,0.08246,0.0249
1596526412.113997,B1602302,0.02667,-0.02496,-0.99591,0.08282,0.0249
1596526412.118319,B1602307,0.02661,-0.02484,-0.99585,0.08307,0.0249
1596526412.125609,B1602313,0.02655,-0.02423,-0.99591,0.08313,0.0249
1596526412.131378,B1602318,0.02643,-0.02362,-0.99591,0.08313,0.0249
1596526412.134515,B1602323,0.02637,-0.02301,-0.99591,0.08313,0.0249
1596526412.140022,B1602328,0.02637,-0.02252,-0.99591,0.08313,0.0249
1596526412.14474,B1602334,0.02631,-0.02197,-0.99597,0.08319,0.0249
1596526412.14976,B1602339,0.02631,-0.02142,-0.99597,0.08319,0.0248
1596526412.154894,B1602344,0.02631,-0.02100,-0.99597,0.08319,0.0248
1596526412.161993,B1602349,0.02631,-0.02063,-0.99597,0.08319,0.0248
1596526412.165261,B1602354,0.02637,-0.01996,-0.99597,0.08307,0.0247
1596526412.171299,B1602359,0.02643,-0.01965,-0.99603,0.08295,0.0247
1596526412.175663,B1602364,0.02649,-0.01947,-0.99603,0.08289,0.0247
1596526412.180307,B1602369,0.02655,-0.01929,-0.99603,0.08276,0.0247
1596526412.185466,B1602374,0.02661,-0.01917,-0.99603,0.08264,0.0247
1596526412.1919968,B1602379,0.02667,-0.01910,-0.99603,0.08246,0.0247
1596526412.196654,B1602384,0.02673,-0.01904,-0.99609,0.08228,0.0246
1596526412.200779,B1602389,0.02686,-0.01904,-0.99609,0.08215,0.0246
1596526412.206212,B1602395,0.02698,-0.01904,-0.99609,0.08197,0.0246
1596526412.210855,B1602400,0.02710,-0.01904,-0.99609,0.08179,0.0246
