imu_packets,1254
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596176647.350368,B2369217,-0.04120,0.00531,0.99915,0.00104,0.0158
1596176647.354739,B2369223,-0.04114,0.00537,0.99915,0.00104,0.0158
1596176647.3600068,B2369228,-0.04114,0.00549,0.99915,0.00098,0.0158
1596176647.365053,B2369233,-0.04108,0.00555,0.99915,0.00092,0.0158
1596176647.370838,B2369238,-0.04102,0.00568,0.99915,0.00085,0.0158
1596176647.375214,B2369243,-0.04095,0.00580,0.99915,0.00073,0.0158
1596176647.380203,B2369248,-0.04095,0.00598,0.99915,0.00067,0.0158
1596176647.38661,B2369254,-0.04089,0.00610,0.99915,0.00055,0.0158
1596176647.391219,B2369259,-0.04083,0.00629,0.99915,0.00043,0.0158
1596176647.395981,B2369264,-0.04077,0.00647,0.99915,0.00031,0.0158
1596176647.400626,B2369269,-0.04077,0.00665,0.99915,0.00018,0.0158
1596176647.406359,B2369274,-0.04071,0.00684,0.99915,0.00006,0.0158
1596176647.4108312,B2369279,0.04071,-0.00708,-0.99915,0.00006,0.0158
1596176647.41619,B2369284,0.04065,-0.00726,-0.99915,0.00018,0.0158
1596176647.421252,B2369289,0.04065,-0.00769,-0.99915,0.00049,0.0158
1596176647.426267,B2369294,0.04059,-0.00787,-0.99915,0.00061,0.0158
1596176647.431882,B2369299,0.04059,-0.00812,-0.99915,0.00073,0.0158
1596176647.436456,B2369304,0.04059,-0.00830,-0.99915,0.00092,0.0158
1596176647.44198,B2369310,0.04059,-0.00854,-0.99915,0.00098,0.0158
1596176647.446802,B2369314,0.04059,-0.00873,-0.99915,0.00110,0.0158
1596176647.4513652,B2369319,0.04059,-0.00891,-0.99915,0.00122,0.0158
1596176647.4572248,B2369324,0.04059,-0.00909,-0.99915,0.00134,0.0158
1596176647.461893,B2369329,0.04059,-0.00934,-0.99915,0.00146,0.0158
1596176647.466523,B2369334,0.04065,-0.00952,-0.99915,0.00153,0.0158
1596176647.4715672,B2369339,0.04065,-0.00970,-0.99915,0.00159,0.0158
1596176647.4766169,B2369345,0.04071,-0.00989,-0.99915,0.00165,0.0158
1596176647.481992,B2369349,0.04077,-0.01013,-0.99915,0.00171,0.0158
1596176647.486733,B2369355,0.04083,-0.01031,-0.99908,0.00171,0.0158
1596176647.491462,B2369359,0.04089,-0.01050,-0.99908,0.00171,0.0158
1596176647.4970932,B2369365,0.04095,-0.01068,-0.99908,0.00165,0.0158
1596176647.502919,B2369370,0.04102,-0.01086,-0.99908,0.00159,0.0158
1596176647.506389,B2369375,0.04108,-0.01105,-0.99908,0.00146,0.0158
1596176647.511455,B2369380,0.04120,-0.01123,-0.99908,0.00134,0.0158
1596176647.516973,B2369385,0.04126,-0.01141,-0.99908,0.00116,0.0158
1596176647.522149,B2369390,0.04132,-0.01160,-0.99908,0.00092,0.0158
1596176647.5268931,B2369395,0.04144,-0.01178,-0.99908,0.00067,0.0158
1596176647.5318289,B2369400,0.04150,-0.01190,-0.99908,0.00043,0.0158
1596176647.538668,B2369405,0.04163,-0.01208,-0.99908,0.00006,0.0158
1596176647.542551,B2369410,-0.04175,0.01215,0.99908,0.00031,0.0158
1596176647.548806,B2369416,-0.04181,0.01227,0.99902,0.00079,0.0158
1596176647.5544388,B2369422,-0.04193,0.01239,0.99902,0.00122,0.0158
1596176647.5598552,B2369427,-0.04205,0.01245,0.99902,0.00177,0.0158
1596176647.565073,B2369432,-0.04218,0.01251,0.99902,0.00226,0.0158
1596176647.570535,B2369438,-0.04230,0.01251,0.99902,0.00287,0.0158
1596176647.574688,B2369443,-0.04242,0.01251,0.99902,0.00348,0.0158
1596176647.580359,B2369448,-0.04254,0.01251,0.99902,0.00415,0.0158
1596176647.585378,B2369453,-0.04266,0.01245,0.99902,0.00488,0.0158
1596176647.590498,B2369458,-0.04285,0.01239,0.99896,0.00562,0.0158
1596176647.59532,B2369463,-0.04297,0.01233,0.99896,0.00629,0.0158
1596176647.60036,B2369468,-0.04309,0.01221,0.99896,0.00702,0.0158
1596176647.606623,B2369474,-0.04321,0.01208,0.99896,0.00793,0.0158
1596176647.611535,B2369479,-0.04333,0.01196,0.99896,0.00873,0.0158
1596176647.616577,B2369484,-0.04340,0.01184,0.99896,0.00946,0.0158
