imu_packets,1250
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1595835876.625669,B3394303,-0.09045,-0.01215,0.99573,0.01208,0.0156
1595835876.633039,B3394309,-0.09045,-0.01294,0.99573,0.01202,0.0156
1595835876.636584,B3394314,-0.09052,-0.01367,0.99573,0.01196,0.0156
1595835876.641579,B3394319,-0.09058,-0.01453,0.99573,0.01190,0.0156
1595835876.646854,B3394324,-0.09058,-0.01532,0.99573,0.01184,0.0156
1595835876.6527202,B3394329,-0.09064,-0.01624,0.99567,0.01178,0.0156
1595835876.6566951,B3394334,-0.09070,-0.01709,0.99567,0.01178,0.0157
1595835876.661542,B3394339,-0.09076,-0.01782,0.99567,0.01172,0.0157
1595835876.668761,B3394345,-0.09082,-0.01855,0.99561,0.01172,0.0157
1595835876.674685,B3394350,-0.09094,-0.01996,0.99561,0.01172,0.0157
1595835876.678455,B3394355,-0.09100,-0.02063,0.99554,0.01178,0.0157
1595835876.682921,B3394361,-0.09113,-0.02112,0.99554,0.01178,0.0157
1595835876.689513,B3394366,-0.09131,-0.02173,0.99548,0.01184,0.0157
1595835876.694138,B3394371,-0.09155,-0.02228,0.99548,0.01196,0.0157
1595835876.699397,B3394377,-0.09180,-0.02277,0.99542,0.01208,0.0157
1595835876.705041,B3394382,-0.09204,-0.02325,0.99542,0.01221,0.0157
1595835876.710128,B3394388,-0.09229,-0.02362,0.99536,0.01233,0.0157
1595835876.715625,B3394393,-0.09253,-0.02399,0.99536,0.01251,0.0157
1595835876.723789,B3394399,-0.09277,-0.02435,0.99530,0.01270,0.0157
1595835876.726398,B3394404,-0.09302,-0.02466,0.99530,0.01288,0.0157
1595835876.731492,B3394409,-0.09332,-0.02490,0.99524,0.01312,0.0157
1595835876.7368908,B3394414,-0.09351,-0.02515,0.99524,0.01331,0.0157
1595835876.741935,B3394419,-0.09375,-0.02533,0.99518,0.01355,0.0157
1595835876.74661,B3394424,-0.09393,-0.02551,0.99518,0.01379,0.0157
1595835876.752974,B3394430,-0.09418,-0.02570,0.99512,0.01404,0.0157
1595835876.757344,B3394435,-0.09460,-0.02594,0.99506,0.01453,0.0157
1595835876.762578,B3394440,-0.09485,-0.02600,0.99506,0.01477,0.0157
1595835876.767322,B3394445,-0.09503,-0.02606,0.99500,0.01508,0.0157
1595835876.774036,B3394451,-0.09528,-0.02606,0.99500,0.01538,0.0157
1595835876.778883,B3394457,-0.09546,-0.02606,0.99500,0.01563,0.0157
1595835876.7842119,B3394462,-0.09564,-0.02600,0.99493,0.01593,0.0157
1595835876.7914271,B3394467,-0.09576,-0.02588,0.99493,0.01624,0.0157
1595835876.79508,B3394472,-0.09589,-0.02576,0.99493,0.01648,0.0157
1595835876.8010108,B3394478,-0.09601,-0.02557,0.99493,0.01672,0.0157
1595835876.805595,B3394483,-0.09607,-0.02539,0.99493,0.01697,0.0157
1595835876.811758,B3394489,-0.09613,-0.02515,0.99493,0.01721,0.0157
1595835876.822507,B3394494,-0.09613,-0.02496,0.99493,0.01740,0.0157
1595835876.822592,B3394499,-0.09607,-0.02472,0.99493,0.01758,0.0157
1595835876.826265,B3394504,-0.09607,-0.02448,0.99493,0.01776,0.0157
1595835876.832685,B3394509,-0.09601,-0.02423,0.99493,0.01794,0.0157
1595835876.83697,B3394514,-0.09595,-0.02399,0.99493,0.01807,0.0157
1595835876.841655,B3394519,-0.09589,-0.02380,0.99493,0.01819,0.0157
1595835876.849278,B3394525,-0.09576,-0.02356,0.99493,0.01831,0.0157
1595835876.852706,B3394530,-0.09558,-0.02313,0.99500,0.01849,0.0157
1595835876.8580759,B3394535,-0.09552,-0.02289,0.99500,0.01855,0.0157
1595835876.865407,B3394541,-0.09540,-0.02271,0.99500,0.01862,0.0157
1595835876.8760939,B3394547,-0.09534,-0.02258,0.99500,0.01868,0.0157
1595835876.87619,B3394552,-0.09528,-0.02240,0.99500,0.01874,0.0157
1595835876.881415,B3394557,-0.09521,-0.02228,0.99506,0.01880,0.0157
1595835876.891847,B3394563,-0.09515,-0.02216,0.99506,0.01880,0.0157
1595835876.893164,B3394568,-0.09509,-0.02209,0.99506,0.01880,0.0156
1595835876.897202,B3394573,-0.09503,-0.02203,0.99506,0.01880,0.0156
1595835876.903473,B3394579,-0.09497,-0.02197,0.99506,0.01886,0.0156
1595835876.90723,B3394584,-0.09491,-0.02191,0.99506,0.01886,0.0157
1595835876.9111218,B3394589,-0.09485,-0.02191,0.99506,0.01886,0.0156
1595835876.9200242,B3394594,-0.09485,-0.02191,0.99506,0.01880,0.0156
1595835876.9265459,B3394599,-0.09479,-0.02191,0.99506,0.01880,0.0156
1595835876.926562,B3394604,-0.09473,-0.02191,0.99512,0.01874,0.0156
1595835876.9333508,B3394609,-0.09467,-0.02191,0.99512,0.01868,0.0156
1595835876.936662,B3394615,-0.09460,-0.02191,0.99512,0.01868,0.0156
1595835876.9417999,B3394620,-0.09454,-0.02197,0.99512,0.01849,0.0156
1595835876.951564,B3394625,-0.09448,-0.02203,0.99512,0.01843,0.0156
1595835876.952092,B3394630,-0.09436,-0.02209,0.99512,0.01831,0.0156
1595835876.959049,B3394635,-0.09430,-0.02216,0.99512,0.01825,0.0156
1595835876.964733,B3394640,-0.09418,-0.02222,0.99512,0.01813,0.0156
1595835876.967752,B3394645,-0.09406,-0.02234,0.99518,0.01794,0.0156
1595835876.973012,B3394650,-0.09393,-0.02240,0.99518,0.01782,0.0156
1595835876.9805539,B3394656,-0.09381,-0.02252,0.99518,0.01764,0.0156
1595835876.983857,B3394661,-0.09369,-0.02258,0.99518,0.01752,0.0156
1595835876.988696,B3394666,-0.09357,-0.02271,0.99518,0.01727,0.0156
1595835876.994706,B3394672,-0.09338,-0.02277,0.99524,0.01715,0.0156
1595835877.0014,B3394677,-0.09320,-0.02283,0.99524,0.01691,0.0156
1595835877.0061681,B3394682,-0.09308,-0.02295,0.99524,0.01672,0.0156
1595835877.0114791,B3394688,-0.09290,-0.02301,0.99530,0.01654,0.0156
1595835877.0171032,B3394693,-0.09271,-0.02307,0.99530,0.01636,0.0156
1595835877.020709,B3394699,-0.09253,-0.02313,0.99530,0.01611,0.0156
1595835877.02581,B3394704,-0.09229,-0.02313,0.99536,0.01587,0.0156
1595835877.032303,B3394709,-0.09204,-0.02313,0.99536,0.01563,0.0156
1595835877.039027,B3394714,-0.09180,-0.02313,0.99542,0.01532,0.0156
1595835877.042579,B3394719,-0.09155,-0.02307,0.99542,0.01508,0.0156
1595835877.0487711,B3394725,-0.09131,-0.02301,0.99542,0.01483,0.0156
1595835877.052722,B3394730,-0.09076,-0.02277,0.99548,0.01422,0.0156
1595835877.056999,B3394735,-0.09052,-0.02258,0.99554,0.01398,0.0156
1595835877.06161,B3394740,-0.09033,-0.02240,0.99554,0.01367,0.0156
1595835877.0670452,B3394745,-0.09009,-0.02216,0.99561,0.01337,0.0156
1595835877.072753,B3394750,-0.08984,-0.02197,0.99561,0.01312,0.0156
1595835877.076747,B3394755,-0.08966,-0.02179,0.99567,0.01294,0.0156
1595835877.082477,B3394760,-0.08948,-0.02167,0.99567,0.01270,0.0156
1595835877.088192,B3394765,-0.08923,-0.02148,0.99573,0.01251,0.0156
1595835877.092043,B3394770,-0.08905,-0.02130,0.99573,0.01227,0.0156
1595835877.097536,B3394775,-0.08881,-0.02124,0.99573,0.01215,0.0156
1595835877.1027179,B3394780,-0.08862,-0.02118,0.99579,0.01202,0.0156
1595835877.1093912,B3394785,-0.08838,-0.02112,0.99579,0.01184,0.0156
1595835877.113322,B3394791,-0.08820,-0.02106,0.99579,0.01172,0.0156
1595835877.1187708,B3394797,-0.08795,-0.02106,0.99585,0.01166,0.0156
1595835877.125429,B3394803,-0.08777,-0.02112,0.99585,0.01154,0.0156
1595835877.129494,B3394808,-0.08759,-0.02118,0.99585,0.01147,0.0156
1595835877.1351628,B3394813,-0.08740,-0.02118,0.99591,0.01141,0.0156
1595835877.140077,B3394818,-0.08716,-0.02124,0.99591,0.01135,0.0156
1595835877.145807,B3394823,-0.08698,-0.02130,0.99591,0.01129,0.0156
1595835877.151149,B3394829,-0.08679,-0.02130,0.99591,0.01129,0.0156
1595835877.157281,B3394834,-0.08661,-0.02130,0.99597,0.01123,0.0156
1595835877.161084,B3394839,-0.08643,-0.02130,0.99597,0.01117,0.0156
1595835877.166429,B3394844,-0.08624,-0.02136,0.99597,0.01117,0.0156
