eye_packets,758
norm_X,norm_Y,phi,theta,confidence,timestamp
1595227374.219285,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243787.029486, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.7105721767878285, -2.735998999278472, 33.033283640682114], 'radius': 12.0}, 'projected_sphere': {'center': [146.66330739624416, 68.64817563993088], 'axes': [450.4547644084207, 450.4547644084207], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227374.229721,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243787.037886, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.7105721767878285, -2.735998999278472, 33.033283640682114], 'radius': 12.0}, 'projected_sphere': {'center': [146.66330739624416, 68.64817563993088], 'axes': [450.4547644084207, 450.4547644084207], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227374.238685,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243787.046286, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.7105721767878285, -2.735998999278472, 33.033283640682114], 'radius': 12.0}, 'projected_sphere': {'center': [146.66330739624416, 68.64817563993088], 'axes': [450.4547644084207, 450.4547644084207], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227374.2480268,"{'circle_3d': {'center': [-3.0924460692286972, 3.557973990025827, 23.097863127668262], 'normal': [-0.19848949103673907, 0.5244977491086916, -0.8279517094178211], 'radius': 0.37234593441848884}, 'confidence': 0.72362463441488, 'timestamp': 243787.063086, 'diameter_3d': 0.7446918688369777, 'ellipse': {'center': [77.01129978844641, 215.4420741519874], 'axes': [14.381694754935728, 20.02261121740822], 'angle': -65.89297397740629}, 'location': [77.01129978844641, 215.4420741519874], 'diameter': 20.02261121740822, 'sphere': {'center': [-0.7105721767878285, -2.735998999278472, 33.033283640682114], 'radius': 12.0}, 'projected_sphere': {'center': [146.66330739624416, 68.64817563993088], 'axes': [450.4547644084207, 450.4547644084207], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 2.122921429050225, 'phi': -1.806091282478722, 'norm_pos': [0.24066031183889502, 0.10232469103338582], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227374.2500758,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243787.071487, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.7105721767878285, -2.735998999278472, 33.033283640682114], 'radius': 12.0}, 'projected_sphere': {'center': [146.66330739624416, 68.64817563993088], 'axes': [450.4547644084207, 450.4547644084207], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227374.257869,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243787.079887, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.7105721767878285, -2.735998999278472, 33.033283640682114], 'radius': 12.0}, 'projected_sphere': {'center': [146.66330739624416, 68.64817563993088], 'axes': [450.4547644084207, 450.4547644084207], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227374.2701209,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243787.088287, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.7105721767878285, -2.735998999278472, 33.033283640682114], 'radius': 12.0}, 'projected_sphere': {'center': [146.66330739624416, 68.64817563993088], 'axes': [450.4547644084207, 450.4547644084207], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227374.278971,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243787.096687, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.7105721767878285, -2.735998999278472, 33.033283640682114], 'radius': 12.0}, 'projected_sphere': {'center': [146.66330739624416, 68.64817563993088], 'axes': [450.4547644084207, 450.4547644084207], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227374.283255,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243787.105087, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.7105721767878285, -2.735998999278472, 33.033283640682114], 'radius': 12.0}, 'projected_sphere': {'center': [146.66330739624416, 68.64817563993088], 'axes': [450.4547644084207, 450.4547644084207], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227374.296866,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243787.113487, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.7105721767878285, -2.735998999278472, 33.033283640682114], 'radius': 12.0}, 'projected_sphere': {'center': [146.66330739624416, 68.64817563993088], 'axes': [450.4547644084207, 450.4547644084207], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
