eye_packets,779
norm_X,norm_Y,phi,theta,confidence,timestamp
1595227394.811997,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.635016, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.8202722,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.643416, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.828244,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.651816, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.8363378,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.660216, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.84414,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.668616, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.852958,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.677016, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.862056,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.685416, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.868426,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.693816, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.876339,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.702217, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.888277,"{'circle_3d': {'center': [10.17300571577114, -8.38498922391492, 53.5247363854483], 'normal': [-0.40749560418624314, -0.13839027959048808, -0.9026602146343635], 'radius': 1.1388022264402389}, 'confidence': 0.7652243569007464, 'timestamp': 243807.710617, 'diameter_3d': 2.2776044528804777, 'ellipse': {'center': [277.9514161816168, 22.89998923650353], 'axes': [24.553789800060724, 27.172357433448617], 'angle': 50.072408910268635}, 'location': [277.9514161816168, 22.89998923650353], 'diameter': 27.172357433448617, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 1.4319604574129765, 'phi': -1.9948458949564163, 'norm_pos': [0.8685981755675526, 0.9045833781812354], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
