,subject,env,target,block,Hoffset_mean,Hsimple_mean,Hmedian_mean,Hoffset_std,Hsimple_std,Hmedian_std,Voffset_mean,Vsimple_mean,Vmedian_mean,Voffset_std,Vsimple_std,Vmedian_std,0.1offset_ETE,0.1simple_ETE,0.1median_ETE,0.1offset_dwelltime,0.1simple_dwelltime,0.1median_dwelltime,0.2offset_ETE,0.2simple_ETE,0.2median_ETE,0.2offset_dwelltime,0.2simple_dwelltime,0.2median_dwelltime,0.3offset_ETE,0.3simple_ETE,0.3median_ETE,0.3offset_dwelltime,0.3simple_dwelltime,0.3median_dwelltime,0.4offset_ETE,0.4simple_ETE,0.4median_ETE,0.4offset_dwelltime,0.4simple_dwelltime,0.4median_dwelltime,0.5offset_ETE,0.5simple_ETE,0.5median_ETE,0.5offset_dwelltime,0.5simple_dwelltime,0.5median_dwelltime,0.6offset_ETE,0.6simple_ETE,0.6median_ETE,0.6offset_dwelltime,0.6simple_dwelltime,0.6median_dwelltime,0.7offset_ETE,0.7simple_ETE,0.7median_ETE,0.7offset_dwelltime,0.7simple_dwelltime,0.7median_dwelltime,0.8offset_ETE,0.8simple_ETE,0.8median_ETE,0.8offset_dwelltime,0.8simple_dwelltime,0.8median_dwelltime,0.9offset_ETE,0.9simple_ETE,0.9median_ETE,0.9offset_dwelltime,0.9simple_dwelltime,0.9median_dwelltime,1.0offset_ETE,1.0simple_ETE,1.0median_ETE,1.0offset_dwelltime,1.0simple_dwelltime,1.0median_dwelltime
684,13,W,0,3,0.036685605164692624,0.32822925081043597,0.09620143773075938,0.567892385618516,0.35987644104513905,0.3290965327324639,0.32895540804735257,0.4072951136768313,0.5114754550133455,1.0436882929861944,0.4865614960977706,0.7066433763938841,20,10,16,0.8350000000000002,1.185,1.4950000000000003,19,10,20,1.4899999999999998,2.2349999999999994,2.99,19,10,12,2.29,3.0600000000000005,4.41,18,9,5,2.96,3.74,5.125,15,8,4,3.7049999999999996,4.295,5.325,12,6,3,4.215000000000001,4.87,5.414999999999999,11,5,3,4.58,5.170000000000001,5.445,8,4,3,4.875,5.31,5.48,7,3,3,5.08,5.41,5.515000000000001,5,3,3,5.295000000000001,5.445,5.55
685,13,W,0,4,0.15485044507967502,-0.09713436600720358,0.09798727974492966,0.7582882310181084,0.33595711013421725,0.30883828550040915,0.493093977662847,0.25852645862474505,0.7366650735114061,1.2796138404370927,0.5575102288478944,0.8993597970489917,19,18,18,0.45500000000000007,1.555,1.7599999999999998,20,15,16,1.0,2.71,3.135,18,11,9,1.6650000000000003,3.765,4.405000000000001,16,8,6,2.1149999999999998,4.3549999999999995,4.86,14,6,5,2.515,4.765000000000001,5.05,15,6,4,2.9799999999999995,5.1899999999999995,5.23,13,3,2,3.5,5.39,5.38,12,2,2,4.17,5.415,5.395,10,2,2,4.54,5.425,5.415,8,2,2,4.78,5.445,5.425
686,13,W,1,1,0.16481181168135423,-0.13034427886604708,-0.22098371800555652,0.8071628162288361,0.4768386256561136,0.6552195373403336,0.47649530917068156,0.288708412523902,0.43576360778525286,1.051437067551154,0.9335118511979043,0.9035023835074015,19,21,16,0.9250000000000003,1.195,0.5950000000000002,19,19,14,1.5899999999999996,1.9749999999999999,1.4300000000000002,15,16,15,2.3999999999999995,2.795,2.0049999999999994,14,15,12,2.835,3.5299999999999994,2.72,12,11,10,3.2099999999999995,4.005,3.495000000000001,11,10,9,3.5150000000000006,4.4350000000000005,3.84,9,6,7,3.86,4.88,4.13,7,5,6,4.095,5.0600000000000005,4.390000000000001,7,5,5,4.245,5.220000000000001,4.6,7,4,5,4.42,5.44,4.795
687,13,W,1,2,0.10278381268371897,-1.5425555221375291,0.09064275586761852,0.7269788050694146,0.22687479621167753,0.3472970473371795,0.45293916258367506,0.25752397158851015,0.5597520638120425,0.9337283399758262,0.5509998470675567,0.5671079551652803,14,0,10,0.6450000000000001,0.0,0.955,15,0,12,1.28,0.0,2.16,12,0,10,1.85,0.0,3.5249999999999995,12,0,6,2.2399999999999998,0.0,4.245,11,0,4,2.6449999999999996,0.0,4.825,11,0,3,2.9699999999999993,0.0,4.994999999999999,11,0,2,3.31,0.0,5.265,10,0,3,3.62,0.0,5.390000000000001,11,0,1,4.005,0.0,5.63,10,0,1,4.52,0.0,5.63
688,13,W,1,3,0.09972583853350178,-0.7220022195613177,-0.07701219288508387,0.8499805688799916,0.46660940598948414,0.6735275153632271,0.5602618488892922,0.0023282261088496256,0.7070251114500858,0.9398964720855458,0.5508871715544563,0.618272812509828,14,4,11,0.30500000000000005,0.185,0.655,14,5,13,0.655,0.325,1.455,14,7,10,1.0150000000000001,0.665,2.27,14,8,9,1.57,1.21,2.955,14,7,6,1.88,1.5299999999999998,3.62,15,9,6,2.265,2.0300000000000002,3.9749999999999996,16,11,6,2.7750000000000004,2.775,4.175,17,10,5,3.3499999999999996,3.415,4.39,13,8,5,3.95,3.9000000000000004,4.5249999999999995,10,6,5,4.33,4.365,4.655
689,13,W,1,4,-0.35857159934126975,0.009436399202239367,-0.3169999888971339,0.7814438716348461,0.4816279558288239,0.4218615582740977,-0.06652177310107849,0.9377808963753631,0.02574862127070123,0.9461845644227016,0.5244758880243328,0.4952046978814666,15,11,11,0.42000000000000015,1.3050000000000002,0.8000000000000003,12,10,8,0.8000000000000002,2.04,1.645,12,10,9,1.1700000000000002,2.8000000000000003,2.155,11,7,9,1.57,3.555,2.88,11,8,9,1.9900000000000002,3.895,3.5399999999999996,11,6,8,2.36,4.465,4.075,11,5,5,2.925,4.750000000000001,4.4750000000000005,9,3,5,3.6149999999999998,5.015000000000001,4.7,8,2,3,3.9650000000000003,5.0649999999999995,4.95,7,2,3,4.3,5.115,5.0600000000000005
690,13,W,2,1,0.04524008124853381,-0.000521686655390218,-0.2080146873576573,1.031410686550514,0.43727394172713824,0.562634099089671,0.3248669868190879,0.5468179643282859,0.42820599174504104,0.7959492737027634,0.6004923607587358,0.5686182660644966,20,18,15,0.6100000000000001,1.2850000000000001,0.93,17,15,14,1.3800000000000001,2.32,1.6300000000000001,15,14,13,1.91,2.99,2.42,14,13,11,2.44,3.7100000000000004,3.2350000000000003,11,8,8,2.86,4.485,3.775,11,5,6,3.1199999999999997,4.935,4.2,9,5,5,3.395,5.13,4.51,10,4,5,3.61,5.415,4.81,9,4,3,3.915,5.545,5.105,8,3,2,4.175,5.715,5.36
691,13,W,2,2,-0.17055466514466225,-1.5296101758773208,-0.3849490849942105,0.5771711256618065,0.4588057250153799,0.4704812698524802,0.35202579430688424,0.008218042663477929,0.21634320979763277,1.055690298491518,0.7708175499524444,0.8057917490553069,17,0,17,0.6950000000000002,0.0,0.7500000000000002,18,0,14,1.2150000000000003,0.0,1.4900000000000002,18,0,11,1.88,0.0,2.41,15,1,10,2.655,0.04,2.9550000000000005,14,1,11,3.275,0.07,3.34,14,1,12,3.7300000000000004,0.09,3.88,12,1,8,4.17,0.105,4.4350000000000005,11,1,7,4.605,0.125,4.72,7,4,5,4.965000000000001,0.275,5.005,6,8,5,5.2299999999999995,0.675,5.1450000000000005
692,13,W,2,3,-0.07476168123968607,-0.696842789274653,0.04390522345604466,0.8070966159176008,0.5442206447132641,0.5562581434521583,0.014044319461927428,0.16672180284441018,-0.021985391360159055,0.809564062178955,0.7986567582479268,0.8244622525616443,16,11,21,0.5,0.29500000000000004,0.685,16,10,20,1.0,0.655,1.6249999999999998,15,11,19,1.4600000000000002,1.0,2.265,17,9,19,2.05,1.2999999999999998,2.9950000000000006,16,11,15,2.7150000000000003,1.68,3.7350000000000008,13,12,13,3.3949999999999996,2.31,4.180000000000001,11,12,10,3.865,2.845,4.625,9,11,8,4.2,3.3500000000000005,4.829999999999999,8,12,7,4.385000000000001,3.865,5.02,8,10,6,4.565,4.24,5.245
693,13,W,2,4,-0.03450297077286436,0.5082347201711362,-0.00014044558844930743,0.9103136831077369,0.39939162219527313,0.5084430807046013,0.3160922552597218,-0.2501226861030073,0.3170500467501079,1.0070777238624538,0.5858863968439456,0.6530367778178104,16,7,13,0.3300000000000001,0.54,0.8450000000000001,18,8,11,0.8950000000000004,1.14,1.665,19,9,12,1.52,1.7449999999999999,2.53,17,9,11,2.12,2.3249999999999997,3.3349999999999995,15,11,8,2.6300000000000003,2.8549999999999995,3.985,13,9,7,3.09,3.6049999999999995,4.3950000000000005,11,7,7,3.6000000000000005,4.315,4.655,9,5,6,4.090000000000001,4.635,5.005,7,4,3,4.3500000000000005,4.85,5.245,6,4,3,4.4799999999999995,5.07,5.365
694,13,W,3,1,-0.10645726383047438,0.10894222860153287,-0.36645143672489816,0.7950761839538875,0.6649299532090984,0.6801189179061978,0.17909635354734577,0.6087420359926783,0.30365239275784434,0.8917126963970615,0.5902375140896585,0.6168835411544816,16,13,17,0.5050000000000001,0.91,0.7800000000000002,16,12,16,1.0100000000000002,1.435,1.505,14,10,14,1.535,1.8399999999999999,2.2350000000000003,14,11,13,1.885,2.2250000000000005,2.8450000000000006,14,11,10,2.305,2.795,3.4499999999999997,13,12,8,3.1200000000000006,3.1799999999999997,3.975,13,13,8,3.6050000000000004,3.8450000000000006,4.250000000000001,11,10,8,4.005,4.465,4.535,10,8,5,4.385,4.715,4.8549999999999995,7,8,3,4.835,4.920000000000001,5.1000000000000005
695,13,W,3,2,0.01716220129522355,0.7636211793735005,0.10183124150469232,0.7783505886512678,0.2847407919629267,0.37790366143384047,-0.2406760240073749,0.6275941853725179,-0.2672573062885756,0.9406010845156773,0.6014703691050836,0.7231101960069992,17,1,16,0.36500000000000005,0.08,1.245,17,2,13,0.8000000000000003,0.14,2.495,17,3,11,1.28,0.265,3.48,17,3,8,1.7299999999999998,0.41000000000000003,4.45,18,5,5,2.2849999999999997,0.81,5.039999999999999,16,8,1,2.9399999999999995,1.72,5.52,15,10,1,3.455,2.505,5.535,14,10,1,3.93,3.6250000000000004,5.55,11,7,1,4.4399999999999995,4.249999999999999,5.56,8,4,1,4.919999999999999,4.755,5.57
696,13,W,3,3,0.14722191378225152,0.4961597529382843,0.09193927913001797,0.7340949019977155,0.3916698873110711,0.4468045097335837,0.20997569237175343,0.26087381338819204,0.3827275799400985,1.0834136123249203,0.7445299291063058,0.7327811739522099,16,7,17,0.61,0.555,1.125,15,8,17,1.0850000000000002,0.9400000000000002,2.415,15,10,13,1.5200000000000002,1.4249999999999998,3.3049999999999997,17,12,12,2.165,2.04,3.9650000000000003,14,12,9,2.855,2.7,4.415,12,10,7,3.34,3.6500000000000004,4.77,11,10,6,3.7599999999999993,4.1049999999999995,5.06,10,9,5,4.175,4.56,5.215,8,8,4,4.44,4.955,5.42,7,7,2,4.695,5.249999999999999,5.62
697,13,W,3,4,0.10655234112796312,-0.43053779634617306,-0.6779815605890418,1.0927168932979703,2.351475593872143,2.398444398436048,-0.5438638445285672,-0.4485422320173416,-0.7003510651153446,0.9421546980015965,0.5674126024577661,0.7009494903791849,14,18,14,0.6100000000000001,1.4049999999999998,0.9700000000000002,14,15,13,0.9400000000000002,2.535,1.8649999999999995,14,9,10,1.22,3.585,2.665,14,7,9,1.6500000000000001,4.065,3.615000000000001,13,8,5,1.9349999999999996,4.355,4.12,12,7,5,2.3499999999999996,4.680000000000001,4.46,11,5,4,2.6200000000000006,4.94,4.630000000000001,11,4,4,2.9200000000000004,5.13,4.84,11,3,4,3.285,5.22,4.925000000000001,11,3,4,3.559999999999999,5.26,4.99
698,13,W,4,1,0.22419598587020437,0.3523259101138673,0.16710379640890313,0.6492735457098046,0.32365323541531804,0.3868222318663779,0.11858769469115613,-0.14907706656343808,0.14403379997960505,0.704256039985355,0.581449495940975,0.5113731043579075,17,3,16,0.575,0.16,1.2700000000000002,16,7,11,1.3,0.685,2.655,15,12,8,1.93,1.81,3.4499999999999997,16,11,8,2.49,3.1000000000000005,4.15,15,8,6,3.2,3.975,4.785,12,8,5,3.8449999999999998,4.595000000000001,5.045,10,8,4,4.2749999999999995,5.11,5.25,9,4,4,4.6000000000000005,5.67,5.395,8,3,3,4.915,5.885,5.65,5,1,2,5.155,5.965,5.765
699,13,W,4,2,0.2565587765894058,0.139452707437195,0.2788825745607814,0.5527317824180354,0.30847620785613883,0.3715096630429124,0.1828877493904391,-0.538025413180322,0.2036805670610854,0.9809964586486306,0.5558946178726252,0.5068504246754271,14,13,7,0.5500000000000002,1.645,0.8249999999999998,17,12,10,1.29,2.87,1.9349999999999998,16,12,9,2.0749999999999997,4.0649999999999995,2.79,14,6,7,2.8049999999999993,4.970000000000001,3.74,11,3,6,3.41,5.43,4.4399999999999995,12,2,3,3.94,5.625,4.880000000000001,10,2,3,4.38,5.67,5.305,9,2,3,4.664999999999999,5.775,5.425000000000001,8,2,3,4.98,5.8,5.515000000000001,6,2,3,5.24,5.83,5.605
700,13,W,4,3,0.12600205005871734,-0.05721223335594662,0.23371165925473908,0.8483930611163617,0.33686410898593977,0.37981877786913587,0.3975154033746393,0.413191632158714,0.35989977056408945,0.7809973705525729,0.6109495022867075,0.6809406691800285,14,14,9,0.5650000000000002,1.0350000000000001,0.9149999999999999,14,14,11,0.915,2.47,1.9150000000000005,14,10,9,1.2449999999999999,3.42,2.7349999999999994,14,9,8,1.5699999999999998,4.35,3.35,14,5,9,1.94,5.065,4.08,15,5,8,2.4650000000000003,5.465,4.63,13,3,5,3.0100000000000002,5.73,5.219999999999999,13,1,4,3.53,5.915,5.555,10,1,3,4.124999999999999,5.915,5.779999999999999,10,1,1,4.385000000000001,5.915,5.915
