,subject_num,posture,cursor_type,repetition,target_num,wide,target_size,extra_times_over_target,error
1402,1,WALK,EYE,7,4,LARGE,1.5,14,
1403,1,WALK,EYE,7,4,LARGE,2.0,9,
1404,1,WALK,EYE,7,4,LARGE,2.5,6,
1405,1,WALK,EYE,7,4,LARGE,3.0,7,
1406,1,WALK,EYE,7,4,LARGE,3.5,6,
1407,1,WALK,EYE,7,4,LARGE,4.0,4,
1408,1,WALK,EYE,7,5,LARGE,0.5,10,
1409,1,WALK,EYE,7,5,LARGE,1.0,11,
1410,1,WALK,EYE,7,5,LARGE,1.5,9,
1411,1,WALK,EYE,7,5,LARGE,2.0,11,
1412,1,WALK,EYE,7,5,LARGE,2.5,9,
1413,1,WALK,EYE,7,5,LARGE,3.0,5,
1414,1,WALK,EYE,7,5,LARGE,3.5,4,
1415,1,WALK,EYE,7,5,LARGE,4.0,2,
1416,1,WALK,EYE,7,6,LARGE,0.5,7,
1417,1,WALK,EYE,7,6,LARGE,1.0,12,
1418,1,WALK,EYE,7,6,LARGE,1.5,8,
1419,1,WALK,EYE,7,6,LARGE,2.0,9,
1420,1,WALK,EYE,7,6,LARGE,2.5,7,
1421,1,WALK,EYE,7,6,LARGE,3.0,6,
1422,1,WALK,EYE,7,6,LARGE,3.5,1,
1423,1,WALK,EYE,7,6,LARGE,4.0,2,
1424,1,WALK,EYE,7,7,LARGE,0.5,8,
1425,1,WALK,EYE,7,7,LARGE,1.0,16,
1426,1,WALK,EYE,7,7,LARGE,1.5,14,
1427,1,WALK,EYE,7,7,LARGE,2.0,11,
1428,1,WALK,EYE,7,7,LARGE,2.5,10,
1429,1,WALK,EYE,7,7,LARGE,3.0,9,
1430,1,WALK,EYE,7,7,LARGE,3.5,4,
1431,1,WALK,EYE,7,7,LARGE,4.0,2,
1432,1,WALK,EYE,7,8,LARGE,0.5,8,
1433,1,WALK,EYE,7,8,LARGE,1.0,15,
1434,1,WALK,EYE,7,8,LARGE,1.5,14,
1435,1,WALK,EYE,7,8,LARGE,2.0,10,
1436,1,WALK,EYE,7,8,LARGE,2.5,6,
1437,1,WALK,EYE,7,8,LARGE,3.0,1,
1438,1,WALK,EYE,7,8,LARGE,3.5,3,
1439,1,WALK,EYE,7,8,LARGE,4.0,2,
1440,1,STAND,EYE,8,0,SMALL,0.5,4,
1441,1,STAND,EYE,8,0,SMALL,1.0,3,
1442,1,STAND,EYE,8,0,SMALL,1.5,1,
1443,1,STAND,EYE,8,0,SMALL,2.0,1,
1444,1,STAND,EYE,8,0,SMALL,2.5,1,
1445,1,STAND,EYE,8,0,SMALL,3.0,1,
1446,1,STAND,EYE,8,0,SMALL,3.5,1,
1447,1,STAND,EYE,8,0,SMALL,4.0,1,
1448,1,STAND,EYE,8,1,SMALL,0.5,2,
1449,1,STAND,EYE,8,1,SMALL,1.0,2,
1450,1,STAND,EYE,8,1,SMALL,1.5,1,
1451,1,STAND,EYE,8,1,SMALL,2.0,1,
1452,1,STAND,EYE,8,1,SMALL,2.5,1,
1453,1,STAND,EYE,8,1,SMALL,3.0,2,
1454,1,STAND,EYE,8,1,SMALL,3.5,2,
1455,1,STAND,EYE,8,1,SMALL,4.0,2,
1456,1,STAND,EYE,8,2,SMALL,0.5,2,
1457,1,STAND,EYE,8,2,SMALL,1.0,1,
1458,1,STAND,EYE,8,2,SMALL,1.5,2,
1459,1,STAND,EYE,8,2,SMALL,2.0,2,
