,subject_num,posture,cursor_type,repetition,target_num,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical,longest_dwell_time,movement_length,entering_position,walking_speed,error
16,20,WALK,HEAD,4,7,SMALL,3.9068393781911595,2.4066452789456476,5.440103077310374,4.156193574744916,1.0314500000000635,4.0,0.5865063333332121,0.14662658333330303,-2.2216630975475966,0.7482975884210634,3.80152071621586,1.071951514146992,3.6368721483637834,1.106198653990629,2.4750093530931365,0.6946690593085856,0.18153333333330768,20.093375026479116,"(0.7941496220803117, 0.804828126442942)",0.5016727018424858,
17,20,WALK,HEAD,4,8,SMALL,9.576261964045555,8.464327911039097,9.237355576435005,7.977520885761918,0.6485000000000127,4.0,0.4601213333331846,0.11503033333329615,-6.711621936315335,0.575124259238341,10.721530075403901,1.788658328663833,9.282342544756686,1.5793241075149453,8.583569213010309,1.0136629786126752,0.18488633333336868,14.219636201997217,"(0.9998602917519293, -1.0639991833988915)",0.4319497045302264,
18,20,STAND,HEAD,5,0,LARGE,0.980341641702042,0.6707423557538547,7.624621657046332,10.0591376865062,1.3511499999999899,2.0,1.2997386666666595,0.6498693333333297,0.48468681248631373,-0.7564654403748805,0.4092708942533185,0.6616395571659963,0.49843656607010367,0.7889146854200438,0.39224510276779745,0.6222080843897198,0.8501753333333132,26.613641611394264,"(-1.4002833851654088, -0.3930942871099461)",0.02215141656561575,
19,20,STAND,HEAD,5,1,LARGE,0.5510908174175471,0.1906575621530223,11.076196609390175,11.61815202642929,1.065414000000004,1.0,0.7993093333333282,0.7993093333333282,0.3350262406466761,0.2522983224724229,0.10940871894514159,0.3936527035741774,0.3350262406466761,0.4211267227295627,0.10940871894514159,0.19697102594998844,0.7993093333333282,26.792825402447313,"(-0.7724971860867171, -1.1705008038869664)",0.025364561417396965,
20,20,STAND,HEAD,5,2,LARGE,0.5014247828817371,0.26646995772307486,10.88949418293497,11.334661867251398,1.1982109999999864,1.0,0.8189323333333524,0.8189323333333524,-0.022839837514205524,0.13924986099283773,0.5395143325509683,0.12794919880938052,0.4547235795860936,0.1596729329179339,0.283611532900429,0.10067861642067151,0.8189323333333524,25.73142342836725,"(-1.3894516376098096, -0.059586166971399734)",0.02220070136556297,
21,20,STAND,HEAD,5,3,LARGE,0.8289559476745996,0.38493103522043,10.081108858000535,10.690662548824024,1.5833879999999851,1.0,0.8339023333333292,0.8339023333333292,-0.2721596767779419,0.7567597851224432,0.10505519572551464,0.422361124288293,0.2806858432175142,0.7567597851224432,0.07889702229867056,0.422361124288293,0.8339023333333292,26.650050411685207,"(-0.14448574666749892, 1.4406233463958813)",0.019605433311935268,
22,20,STAND,HEAD,5,4,LARGE,0.35967624411572985,0.27172879987686716,11.011432739987674,11.204400993951316,1.2829580000000078,1.0,0.8009583333333145,0.8009583333333145,0.18898242556784067,0.08887060045439638,0.17520698751448863,0.3616046787938352,0.18898242556784067,0.28620335348439024,0.17520698751448863,0.23480749483953917,0.8009583333333145,26.17036738556937,"(-0.7485129513461999, 1.1985353218829857)",0.0268615755023136,
23,20,STAND,HEAD,5,5,LARGE,0.5240624510551795,0.31979075848373645,10.114447789709795,11.019862244065052,1.3513650000000155,1.0,0.8333513333333277,0.8333513333333277,-0.33472000028633814,0.1878586499671942,0.3664862514038742,0.3129207801898542,0.33472000028633814,0.2993621706568357,0.3664862514038742,0.2060601094842228,0.8333513333333277,27.131827416441872,"(1.3936534521729627, 0.3035461635878107)",0.030620388813138198,
24,20,STAND,HEAD,5,6,LARGE,0.7863604438266654,0.2667678889767411,9.4217617797916,10.666070595288058,1.3510749999999803,1.0,0.8483963333333425,0.8483963333333425,0.3273842161175523,0.5362503375735284,0.48770456303060267,0.24797357614560972,0.5342380304681665,0.5362503375735284,0.23661899484979376,0.24797357614560972,0.8483963333333425,25.99500808753098,"(1.0524500272150767, 0.9040023052955064)",0.021684112214009576,
25,20,STAND,HEAD,5,7,LARGE,0.9711546273443504,0.6057920507517062,7.021909223468234,10.40764769626564,0.8820039999999949,3.0,1.7175540000000127,0.5725180000000042,-0.1395962908023409,-0.3460418750910402,1.069083552444751,0.18571327454803635,0.8530163215969961,0.3460418750910402,0.6550058066932966,0.18571327454803635,0.917946333333335,26.95138659195175,"(0.9708181726089506, -0.5063371407809996)",0.02308705356527925,
