,dwell_time,subject_num,posture,cursor_type,repetition,target_num,wide,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size,mean_final_speed,min_target_size,best_record,error
1806,0.8,5,STAND,EYE,8,6,SMALL,0.564469000000031,1.0,1.0189883333333987,1.0189883333333987,1.2633690000000115,2.9306358734702043,1.9212480836196597,0.8822196474385056,1.0189883333333987,
1807,0.8,5,STAND,EYE,8,7,SMALL,0.40059999999994034,1.0,1.0333853333333158,1.0333853333333158,0.40059999999994034,1.139499458956119,1.491926104008989,1.017894819856988,1.0333853333333158,
1808,0.8,5,STAND,EYE,8,8,SMALL,0.6345000000000027,1.0,1.030633333333329,1.030633333333329,0.6345000000000027,0.8856133510095084,1.5582994928370397,0.8856133510095084,1.030633333333329,
1809,0.8,5,WALK,EYE,8,0,SMALL,,,,,,2.8926336478774637,,2.8926336478774637,0.13363333333339444,no success dwell
1810,0.8,5,WALK,EYE,8,1,SMALL,,,,,,4.1966326252862425,,3.1683221957519576,0.15070433333326794,no success dwell
1811,0.8,5,WALK,EYE,8,2,SMALL,,,,,,5.510358138471042,,2.915623559244895,0.09943333333333915,no success dwell
1812,0.8,5,WALK,EYE,8,3,SMALL,,,,,,5.0556820583689035,,3.861219056390061,0.30083333333326057,no success dwell
1813,0.8,5,WALK,EYE,8,4,SMALL,,,,,,6.819237796368143,,4.312856232924106,0.10153333333326675,no success dwell
1814,0.8,5,WALK,EYE,8,5,SMALL,,,,,,6.056208989167224,,2.824364053607779,0.16783333333333605,no success dwell
1815,0.8,5,WALK,EYE,8,6,SMALL,,,,,,5.096614785066716,,3.617271005924725,0.2692333333333484,no success dwell
1816,0.8,5,WALK,EYE,8,7,SMALL,,,,,,11.78667411280458,,3.708287178150409,0.13379433333332902,no success dwell
1817,0.8,5,WALK,EYE,8,8,SMALL,,,,,,4.795128568681271,,4.26848836368096,0.10279933333336733,no success dwell
1818,0.8,5,STAND,EYE,9,0,LARGE,0.6687369999999646,1.0,1.0318333333332552,1.0318333333332552,1.0679000000000087,2.075099128927318,0.554982863430483,0.8196498771566235,1.0318333333332552,
1819,0.8,5,STAND,EYE,9,1,LARGE,0.5996710000000576,1.0,1.0181333333332836,1.0181333333332836,0.9170320000000629,1.882693729610526,1.0094969065060313,0.9760022960269469,1.0181333333332836,
1820,0.8,5,STAND,EYE,9,2,LARGE,0.568300000000022,1.0,1.0327833333332441,1.0327833333332441,2.21650000000011,17.434053987205377,1.0239053654879193,1.0061222417170976,1.0327833333332441,
1821,0.8,5,STAND,EYE,9,3,LARGE,0.49850000000003547,1.0,1.0159383333332548,1.0159383333332548,1.0654460000000654,2.5461024724352477,0.24510463599230836,0.5274713477100059,1.0159383333332548,
1822,0.8,5,STAND,EYE,9,4,LARGE,0.7812999999999874,1.0,1.0165333333333442,1.0165333333333442,0.7812999999999874,1.2666121063380227,0.11337464728307074,0.5897863357447107,1.0165333333333442,
1823,0.8,5,STAND,EYE,9,5,LARGE,0.7658999999999878,1.0,1.016033333333356,1.016033333333356,0.7658999999999878,1.2267114881087509,3.3171296982809864,0.7186722584204112,1.016033333333356,
1824,0.8,5,STAND,EYE,9,6,LARGE,0.48425299999996696,2.0,2.0321516666667248,1.0160758333333624,0.48425299999996696,1.316821164207825,0.42046077366321216,0.726695425847531,1.0315333333333305,
1825,0.8,5,STAND,EYE,9,7,LARGE,0.5683559999999943,1.0,1.0155113333333097,1.0155113333333097,1.1831629999999222,4.080915188720518,1.9145134304994194,1.02323294270051,1.0155113333333097,
1826,0.8,5,STAND,EYE,9,8,LARGE,0.3999340000000302,1.0,1.0168543333333295,1.0168543333333295,0.3999340000000302,0.900755531983858,1.9625738084027902,0.6979481719835238,1.0168543333333295,
1827,0.8,5,WALK,EYE,9,0,LARGE,,,,,,4.7071314686455485,,3.2553276416294117,0.20363333333333078,no success dwell
1828,0.8,5,WALK,EYE,9,1,LARGE,,,,,,5.101439987550223,,3.7945127719282823,0.0840893333334255,no success dwell
1829,0.8,5,WALK,EYE,9,2,LARGE,,,,,,6.51104956915795,,4.05670973716168,0.18273333333334751,no success dwell
1830,0.8,5,WALK,EYE,9,3,LARGE,,,,,,4.573707107118269,,4.208972674740422,0.1510333333333468,no success dwell
1831,0.8,5,WALK,EYE,9,4,LARGE,,,,,,4.816096046527763,,3.8119754484472113,0.13349633333339928,no success dwell
1832,0.8,5,WALK,EYE,9,5,LARGE,,,,,,7.272938417879501,,6.854466628480799,0.11261833333336047,no success dwell
1833,0.8,5,WALK,EYE,9,6,LARGE,,,,,,,,,,no success frame
1834,0.8,5,WALK,EYE,9,7,LARGE,,,,,,,,,,no success frame
1835,0.8,5,WALK,EYE,9,8,LARGE,,,,,,5.707188227347355,,3.475366583254772,0.10205933333330297,no success dwell
1836,0.8,5,STAND,HAND,4,0,SMALL,0.5186380000000099,1.0,1.016731333333299,1.016731333333299,0.5186380000000099,1.697143806564789,2.7596409132198993,1.6307849325273802,1.016731333333299,
1837,0.8,5,STAND,HAND,4,1,SMALL,0.8497929999999769,1.0,1.0178303333333665,1.0178303333333665,0.8497929999999769,1.6705224050184435,0.7560009369626098,0.9645197146719533,1.0178303333333665,
1838,0.8,5,STAND,HAND,4,2,SMALL,0.7818000000000893,1.0,1.017965333333253,1.017965333333253,0.7818000000000893,1.50189161276066,0.2488601602309748,1.085996767542574,1.017965333333253,
1839,0.8,5,STAND,HAND,4,3,SMALL,0.7816309999999476,1.0,1.0319303333332377,1.0319303333332377,1.3506610000000592,2.6784296246335066,3.6516600853640764,1.5869743022748575,1.0319303333332377,
1840,0.8,5,STAND,HAND,4,4,SMALL,0.8170999999999822,1.0,1.017833333333359,1.017833333333359,0.8170999999999822,1.7533463670617557,0.7978557991944993,1.129744275818502,1.017833333333359,
1841,0.8,5,STAND,HAND,4,5,SMALL,0.8156999999999925,1.0,1.0167333333334077,1.0167333333334077,0.8156999999999925,1.6714188912302579,1.248769023706881,1.154885881034336,1.0167333333334077,
1842,0.8,5,STAND,HAND,4,6,SMALL,1.3691590000000815,1.0,1.032277333333271,1.032277333333271,1.3691590000000815,1.6620840567478292,0.793099306397548,0.5239606444190569,1.032277333333271,
1843,0.8,5,STAND,HAND,4,7,SMALL,0.7163080000000264,1.0,1.0155333333333678,1.0155333333333678,1.4332689999999957,3.4706017888608898,0.8033907765911553,0.7280083911156989,1.0155333333333678,
1844,0.8,5,STAND,HAND,4,8,SMALL,0.8638919999999644,1.0,1.0173003333333404,1.0173003333333404,0.8638919999999644,1.3812466040344642,3.050188734912913,0.9829547836666988,1.0173003333333404,
