,target_size,subject_num,posture,cursor_type,repetition,target_num,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,longest_dwell,error
2227,1.0,6,WALK,HAND,7,4,LARGE,5.165291262046358,3.0060882972021776,11.198415538435217,11.198415538435217,2.4979860000000826,3.0,0.10385699999994813,0.03461899999998271,-3.5040556400266065,-0.8284215753141805,4.690796870135324,0.8215284840755019,0.03576399999997193,
2228,1.0,6,WALK,HAND,7,5,LARGE,6.417753769224599,3.2392456799455074,10.380635087857142,10.380635087857142,1.898243999999977,1.0,0.034756000000015774,0.034756000000015774,2.3730281055439186,-2.022172604273829,6.395902235164092,0.9842960717165297,0.034756000000015774,
2229,1.0,6,WALK,HAND,7,6,LARGE,4.727278958391812,2.548585788087171,7.5811117869398,7.5811117869398,2.1349669999999605,2.0,0.08328100000005634,0.04164050000002817,2.0462954395309345,0.35730450749597675,4.839154471178267,1.075094998811097,0.05078100000002905,
2230,1.0,6,WALK,HAND,7,7,LARGE,4.538014088508982,2.8983596615660843,11.179493993536669,11.179493993536669,2.218499999999949,1.0,0.016100000000051296,0.016100000000051296,-3.733751346084363,1.421078202593557,3.6623196971549876,0.7511142682221451,0.016100000000051296,
2231,1.0,6,WALK,HAND,7,8,LARGE,3.3730521984680415,2.7283638629031284,8.813803815209333,8.813803815209333,1.7687650000000303,4.0,0.63274100000001,0.1581852500000025,-0.4253042544898295,-0.03952410565739972,4.520684482742706,0.505044393063424,0.4989010000000462,
2232,1.0,6,STAND,HAND,8,0,SMALL,0.4255035166862746,0.1734365425401548,5.242371651258333,5.242371651258333,1.1460260000000062,1.0,0.8323059999999884,0.8323059999999884,0.3072159423890091,0.059839360204458146,0.1885476886304649,0.29731239270247434,0.8323059999999884,
2233,1.0,6,STAND,HAND,8,1,SMALL,0.5930434095106382,0.14164532826840667,4.892256649139861,4.892256649139861,1.6006470000000093,1.0,0.7678530000000023,0.7678530000000023,0.21786230769388984,0.5278556912258879,0.21820904539510178,0.06689964324340177,0.7678530000000023,
2234,1.0,6,STAND,HAND,8,2,SMALL,0.2937403786087719,0.17942321185034782,6.113324917441882,6.113324917441882,0.9986849999999947,1.0,0.9321589999999844,0.9321589999999844,-0.07321877576930264,-0.1992423611219871,0.2541670861948412,0.10817307989427521,0.9321589999999844,
2235,1.0,6,STAND,HAND,8,3,SMALL,0.7158312978461538,0.09423062456485502,5.997666640375,5.997666640375,1.2666010000000085,1.0,0.8493500000000154,0.8493500000000154,0.48906383260293446,0.46350099813536616,0.21547926352631408,0.1585132360684718,0.8493500000000154,
2236,1.0,6,STAND,HAND,8,4,SMALL,0.9688890042121212,0.0357914593529169,5.499824797037878,5.499824797037878,1.6481780000000015,1.0,0.4342499999999916,0.4342499999999916,-0.3235008271681241,0.9122550591057814,0.05660327361335543,0.01816396351531702,0.4342499999999916,
2237,1.0,6,STAND,HAND,8,5,SMALL,0.7442359547543861,0.3070116747289934,6.414123828603306,6.414123828603306,1.0657899999999927,1.0,0.7328190000000063,0.7328190000000063,0.3489699504832598,-0.45140295256314644,0.42949182989720697,0.3781242294357435,0.7328190000000063,
2238,1.0,6,STAND,HAND,8,6,SMALL,0.944842866025641,0.01761536746230409,5.63817309040146,5.63817309040146,1.6309359999999913,1.0,0.6348720000000014,0.6348720000000014,-0.44020490439465415,0.834041762768166,0.07436397634267117,0.022055776187951195,0.6348720000000014,
2239,1.0,6,STAND,HAND,8,7,SMALL,0.5754101828928572,0.2090772217588328,5.486550053756522,5.486550053756522,0.982878999999997,1.0,0.9179080000000113,0.9179080000000113,0.27903078136110626,-0.27048114104850873,0.4609722094524186,0.15355343284592524,0.9179080000000113,
