,dwell_time,subject_num,posture,cursor_type,repetition,target_num,wide,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size,mean_final_speed,min_target_size,error
46,0.1,0,WALK,HEAD,6,1,SMALL,1.21693700000003,4.0,0.7507780000000821,0.18769450000002053,1.21693700000003,1.41816926,6.316348164565653,0.6471007470000001,
47,0.1,0,WALK,HEAD,6,2,SMALL,0.6159999999999854,5.0,1.417643999999882,0.2835287999999764,0.6159999999999854,1.38437355,7.292648380068354,0.5797972,
48,0.1,0,WALK,HEAD,6,3,SMALL,1.2493899999999485,2.0,0.33278199999995195,0.16639099999997597,1.3836669999999458,1.88470984,4.582402668261138,0.7488656,
49,0.1,0,WALK,HEAD,6,4,SMALL,1.1171000000000504,3.0,0.7639349999999467,0.25464499999998225,1.1171000000000504,1.245998,7.695127607477147,0.6361217,
50,0.1,0,WALK,HEAD,6,5,SMALL,0.7497459999999592,6.0,0.9495899999998301,0.15826499999997168,0.7497459999999592,1.27056992,3.802531377891446,0.82258147,
51,0.1,0,WALK,HEAD,6,6,SMALL,1.2164920000000166,3.0,0.4177119999999377,0.13923733333331256,1.2164920000000166,1.44265783,7.074953711787095,0.9472936999999999,
52,0.1,0,WALK,HEAD,6,7,SMALL,0.5323630000000321,7.0,0.7801130000002559,0.11144471428575084,0.5323630000000321,1.45198727,4.205331969005427,0.9614412,
53,0.1,0,WALK,HEAD,6,8,SMALL,0.49890000000004875,2.0,0.3304999999999154,0.1652499999999577,1.7001000000000204,3.27494621,2.084512933976792,1.17169619,
54,0.1,0,STAND,HEAD,7,0,LARGE,0.6689299999999889,1.0,0.9860989999999958,0.9860989999999958,0.6689299999999889,1.226369,9.644427261926255,0.321425438,
55,0.1,0,STAND,HEAD,7,1,LARGE,0.7494719999999973,2.0,1.9620310000000245,0.9810155000000123,0.7494719999999973,1.29709172,4.361703998862818,0.15825878100000002,
56,0.1,0,STAND,HEAD,7,2,LARGE,0.5831760000000088,1.0,1.000553999999994,1.000553999999994,1.0153760000000034,3.15498447,5.049128405926581,0.150657862,
57,0.1,0,STAND,HEAD,7,3,LARGE,0.7647919999999999,1.0,1.0156709999999975,1.0156709999999975,0.7647919999999999,1.4985469999999999,3.737679302267568,0.55778,
58,0.1,0,STAND,HEAD,7,4,LARGE,0.6479999999999961,1.0,1.0025919999999928,1.0025919999999928,0.6479999999999961,1.4938383100000001,12.106246333686338,0.432053864,
59,0.1,0,STAND,HEAD,7,5,LARGE,1.2835999999999785,1.0,2.064041000000003,2.064041000000003,1.2835999999999785,1.414577,4.833184258758923,0.321425438,
60,0.1,0,STAND,HEAD,7,6,LARGE,0.7168729999999925,1.0,0.9827549999999974,0.9827549999999974,0.7168729999999925,1.12570107,7.566475028770401,0.32745644500000004,
61,0.1,0,STAND,HEAD,7,7,LARGE,0.7520760000000166,1.0,0.9823089999999866,0.9823089999999866,0.7520760000000166,1.4076431999999999,5.755313008475929,0.298051357,
62,0.1,0,STAND,HEAD,7,8,LARGE,0.8308719999999994,1.0,1.0008849999999825,1.0008849999999825,0.8308719999999994,1.48832619,7.258075644598152,0.285305262,
63,0.1,0,WALK,HEAD,7,0,LARGE,1.7326659999999947,7.0,0.8939360000000534,0.12770514285715048,1.7326659999999947,1.80352533,1.8301600816790662,0.8379012,
64,0.1,0,WALK,HEAD,7,1,LARGE,1.2304070000000138,4.0,0.6631439999999884,0.1657859999999971,1.2304070000000138,1.41374683,2.90813684694947,0.8416294,
65,0.1,0,WALK,HEAD,7,2,LARGE,1.8324460000000045,4.0,0.8675009999998338,0.21687524999995844,1.8324460000000045,1.23432148,7.066919499880996,0.874468565,
66,0.1,0,WALK,HEAD,7,3,LARGE,1.980935000000045,5.0,0.9867450000000417,0.19734900000000835,1.980935000000045,1.44536817,9.639504042062226,0.6446770430000001,
67,0.1,0,WALK,HEAD,7,4,LARGE,2.8680329999999685,1.0,0.4161669999999731,0.4161669999999731,2.8680329999999685,1.47020245,10.351728886549168,0.77455467,
68,0.1,0,WALK,HEAD,7,5,LARGE,0.7170999999999594,3.0,0.4503669999999147,0.1501223333333049,0.7170999999999594,1.14688325,7.787755254513011,0.9329316999999999,
69,0.1,0,WALK,HEAD,7,6,LARGE,1.1812469999999848,1.0,0.2336999999999989,0.2336999999999989,1.1812469999999848,1.29134607,10.849350249411026,1.06256819,
70,0.1,0,WALK,HEAD,7,7,LARGE,1.2830810000000383,2.0,0.45269999999993615,0.22634999999996808,2.2997360000000526,2.16374159,0.6701251357021453,0.6246366,
71,0.1,0,WALK,HEAD,7,8,LARGE,0.9822500000000218,4.0,0.5548529999998664,0.1387132499999666,1.3679500000000644,2.9940176,2.666393915849213,0.9387862680000001,
72,0.1,0,STAND,HEAD,8,0,SMALL,0.41911300000001006,1.0,0.9988250000000107,0.9988250000000107,0.41911300000001006,1.43803835,10.665866384413832,0.5241405370000001,
73,0.1,0,STAND,HEAD,8,1,SMALL,0.7649380000000008,1.0,1.0036320000000103,1.0036320000000103,0.7649380000000008,1.35060167,8.392205180626071,0.278362483,
74,0.1,0,STAND,HEAD,8,2,SMALL,0.4479840000000195,1.0,0.98284799999999,0.98284799999999,0.7624360000000081,3.0802598,8.15946713792844,0.11869406700000001,
75,0.1,0,STAND,HEAD,8,3,SMALL,0.5113780000000077,2.0,1.1172530000000052,0.5586265000000026,0.5113780000000077,1.04791868,5.2690870200440045,0.26466992500000003,
76,0.1,0,STAND,HEAD,8,4,SMALL,0.46641700000000696,3.0,1.21780499999997,0.40593499999999,0.46641700000000696,1.4874055400000001,6.020350970796689,0.1341704,
77,0.1,0,STAND,HEAD,8,5,SMALL,0.4839629999999886,1.0,1.0000750000000096,1.0000750000000096,0.4839629999999886,1.426013,5.061444118754566,0.12511454500000002,
78,0.1,0,STAND,HEAD,8,6,SMALL,0.5838400000000092,1.0,0.9848599999999976,0.9848599999999976,0.9996800000000121,2.21187043,6.384100664189184,0.41637101800000004,
79,0.1,0,STAND,HEAD,8,7,SMALL,0.5332950000000096,2.0,1.0675960000000089,0.5337980000000044,0.5332950000000096,1.412639,9.190868009770524,0.7348863999999999,
80,0.1,0,STAND,HEAD,8,8,SMALL,0.6490180000000123,1.0,0.9859459999999842,0.9859459999999842,0.6490180000000123,1.400116,4.596397982140133,0.3769049,
81,0.1,0,WALK,HEAD,8,0,SMALL,1.5336920000000873,1.0,0.06726199999991422,0.06726199999991422,1.5336920000000873,1.5360782099999999,5.559925527279213,1.5212283100000001,
82,0.1,0,WALK,HEAD,8,1,SMALL,0.5493999999999915,3.0,0.23566700000003493,0.0785556666666783,0.5493999999999915,1.66342282,10.634242360586423,1.18959653,
83,0.1,0,WALK,HEAD,8,2,SMALL,0.9361999999999853,3.0,0.5504799999999932,0.18349333333333107,1.2685999999999922,2.80923438,6.813918517764719,0.7800927,
84,0.1,0,WALK,HEAD,8,3,SMALL,1.1309609999999566,3.0,0.8713879999999108,0.29046266666663695,1.280499999999961,1.77806258,8.844230573476109,0.6991358999999999,
85,0.1,0,WALK,HEAD,8,4,SMALL,0.8339849999999842,4.0,0.7527099999999791,0.18817749999999478,0.8339849999999842,1.23543072,4.774850670397837,0.909351945,
86,0.1,0,WALK,HEAD,8,5,SMALL,2.3338999999999714,1.0,0.4335999999999558,0.4335999999999558,4.248299999999972,2.5112338100000002,7.237607916248013,0.7651502490000001,
87,0.1,0,WALK,HEAD,8,6,SMALL,1.029700000000048,7.0,1.1345540000002075,0.16207914285717248,1.029700000000048,1.43381369,2.5096946539806253,0.5811455999999999,
88,0.1,0,WALK,HEAD,8,7,SMALL,1.300038000000086,3.0,0.46775400000001355,0.15591800000000453,2.5657380000000103,2.21805573,5.488071605351564,0.9238687,
89,0.1,0,WALK,HEAD,8,8,SMALL,1.1476999999999862,4.0,0.752725999999825,0.18818149999995626,1.1476999999999862,1.43340421,4.363688126666655,0.8494975570000001,
