quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.05090,-0.03510,-0.95282,0.29724,0.02075,1580887603.271845
0.05109,-0.03558,-0.95276,0.29724,0.02075,1580887603.369052
0.05121,-0.03601,-0.95270,0.29730,0.02075,1580887603.482229
0.05139,-0.03638,-0.95264,0.29742,0.02075,1580887603.4994078
0.05151,-0.03680,-0.95258,0.29767,0.02075,1580887603.504055
0.05176,-0.03711,-0.95251,0.29785,0.02075,1580887603.5055401
0.05194,-0.03741,-0.95239,0.29803,0.02075,1580887603.608811
0.05219,-0.03778,-0.95233,0.29822,0.02075,1580887603.652162
0.05249,-0.03802,-0.95227,0.29840,0.02075,1580887603.660655
0.05280,-0.03833,-0.95215,0.29852,0.02075,1580887603.758705
0.05310,-0.03864,-0.95215,0.29858,0.02075,1580887603.882354
0.05353,-0.03906,-0.95209,0.29852,0.02075,1580887603.943199
0.05383,-0.03937,-0.95209,0.29846,0.02075,1580887603.948544
0.05426,-0.03986,-0.95209,0.29828,0.02075,1580887603.958451
0.05463,-0.04028,-0.95215,0.29803,0.02075,1580887604.148928
0.05487,-0.04071,-0.95215,0.29779,0.02075,1580887604.230999
0.05511,-0.04114,-0.95221,0.29755,0.02075,1580887604.237225
0.05518,-0.04150,-0.95227,0.29730,0.02075,1580887604.3385658
0.05518,-0.04181,-0.95233,0.29706,0.02075,1580887604.394725
0.05511,-0.04205,-0.95239,0.29687,0.02075,1580887604.449837
0.05493,-0.04230,-0.95245,0.29675,0.02075,1580887604.494754
0.05469,-0.04254,-0.95245,0.29669,0.02075,1580887604.533375
0.05450,-0.04272,-0.95245,0.29663,0.02075,1580887604.579071
0.05438,-0.04285,-0.95245,0.29663,0.02075,1580887604.7133849
0.05426,-0.04297,-0.95245,0.29663,0.02075,1580887604.743329
0.05426,-0.04303,-0.95245,0.29669,0.02075,1580887604.8189461
0.05426,-0.04309,-0.95245,0.29669,0.02075,1580887604.8627279
0.05432,-0.04309,-0.95245,0.29663,0.02075,1580887604.904872
0.05444,-0.04309,-0.95245,0.29657,0.02075,1580887604.909982
0.05457,-0.04303,-0.95251,0.29645,0.02075,1580887604.9133801
0.05475,-0.04303,-0.95258,0.29633,0.02075,1580887604.917136
0.05487,-0.04297,-0.95258,0.29614,0.02075,1580887604.92353
0.05499,-0.04297,-0.95264,0.29596,0.02075,1580887604.997167
0.05511,-0.04291,-0.95270,0.29572,0.02075,1580887605.12994
0.05511,-0.04291,-0.95276,0.29553,0.02075,1580887605.203775
0.05511,-0.04285,-0.95282,0.29541,0.02075,1580887605.2851992
0.05499,-0.04285,-0.95288,0.29523,0.02075,1580887605.325047
0.05487,-0.04279,-0.95288,0.29517,0.02075,1580887605.3769379
0.05475,-0.04279,-0.95294,0.29510,0.02075,1580887605.4130208
0.05457,-0.04266,-0.95294,0.29510,0.02075,1580887605.415545
0.05444,-0.04254,-0.95294,0.29510,0.02075,1580887605.4189079
0.05432,-0.04236,-0.95300,0.29510,0.02075,1580887605.480892
0.05420,-0.04211,-0.95300,0.29517,0.02075,1580887605.593465
0.05414,-0.04181,-0.95300,0.29517,0.02069,1580887605.654919
0.05414,-0.04150,-0.95300,0.29517,0.02075,1580887605.7223449
0.05420,-0.04114,-0.95306,0.29510,0.02069,1580887605.8148239
0.05438,-0.04077,-0.95306,0.29498,0.02075,1580887605.838301
0.05463,-0.04047,-0.95312,0.29486,0.02069,1580887605.842232
0.05487,-0.04022,-0.95319,0.29468,0.02075,1580887605.936108
