imu_packets,1265
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596007763.992918,B990438,0.01202,0.07123,-0.98285,0.16956,0.0157
1596007763.999337,B990444,0.01215,0.07129,-0.98285,0.16968,0.0157
1596007764.0030222,B990449,0.01233,0.07117,-0.98285,0.16974,0.0157
1596007764.009098,B990454,0.01245,0.07104,-0.98285,0.16980,0.0157
1596007764.013626,B990460,0.01257,0.07086,-0.98285,0.16986,0.0157
1596007764.020125,B990465,0.01276,0.07068,-0.98285,0.16986,0.0157
1596007764.024638,B990470,0.01294,0.07050,-0.98285,0.16980,0.0157
1596007764.028787,B990475,0.01306,0.07031,-0.98291,0.16974,0.0157
1596007764.034508,B990481,0.01331,0.07019,-0.98291,0.16968,0.0157
1596007764.039522,B990486,0.01349,0.07013,-0.98291,0.16956,0.0157
1596007764.0449128,B990491,0.01367,0.07013,-0.98297,0.16943,0.0157
1596007764.049349,B990496,0.01385,0.07019,-0.98297,0.16925,0.0157
1596007764.054222,B990501,0.01404,0.07025,-0.98297,0.16907,0.0157
1596007764.0593102,B990506,0.01422,0.07037,-0.98303,0.16888,0.0157
1596007764.064574,B990511,0.01440,0.07056,-0.98303,0.16864,0.0157
1596007764.06963,B990516,0.01459,0.07080,-0.98303,0.16846,0.0157
1596007764.075329,B990521,0.01483,0.07098,-0.98309,0.16821,0.0157
1596007764.080888,B990526,0.01495,0.07123,-0.98309,0.16797,0.0157
1596007764.085653,B990531,0.01538,0.07184,-0.98315,0.16748,0.0157
1596007764.090084,B990536,0.01556,0.07220,-0.98315,0.16724,0.0157
1596007764.094999,B990541,0.01575,0.07257,-0.98315,0.16693,0.0157
1596007764.1007931,B990547,0.01593,0.07294,-0.98315,0.16669,0.0157
1596007764.105848,B990552,0.01617,0.07336,-0.98322,0.16644,0.0157
1596007764.1109061,B990557,0.01630,0.07379,-0.98322,0.16620,0.0157
1596007764.115469,B990562,0.01642,0.07422,-0.98322,0.16595,0.0157
1596007764.12037,B990567,0.01654,0.07477,-0.98322,0.16571,0.0157
1596007764.125209,B990572,0.01666,0.07513,-0.98322,0.16553,0.0157
1596007764.130956,B990577,0.01666,0.07562,-0.98322,0.16534,0.0157
1596007764.1361861,B990582,0.01666,0.07599,-0.98315,0.16522,0.0157
1596007764.140615,B990587,0.01666,0.07642,-0.98315,0.16504,0.0157
1596007764.145501,B990592,0.01666,0.07678,-0.98315,0.16492,0.0157
1596007764.150694,B990597,0.01660,0.07721,-0.98315,0.16479,0.0157
1596007764.15663,B990602,0.01654,0.07751,-0.98315,0.16467,0.0157
1596007764.162088,B990607,0.01642,0.07788,-0.98315,0.16461,0.0157
1596007764.166373,B990613,0.01636,0.07819,-0.98315,0.16449,0.0157
1596007764.173738,B990618,0.01624,0.07843,-0.98315,0.16443,0.0157
1596007764.17774,B990624,0.01611,0.07867,-0.98315,0.16437,0.0157
1596007764.182862,B990629,0.01599,0.07892,-0.98309,0.16431,0.0157
1596007764.188195,B990635,0.01587,0.07910,-0.98309,0.16425,0.0157
1596007764.194731,B990640,0.01569,0.07928,-0.98309,0.16418,0.0157
1596007764.198619,B990645,0.01550,0.07947,-0.98309,0.16412,0.0157
1596007764.204034,B990650,0.01538,0.07959,-0.98309,0.16406,0.0157
1596007764.209183,B990656,0.01520,0.07965,-0.98309,0.16400,0.0157
1596007764.2151139,B990661,0.01508,0.07977,-0.98309,0.16400,0.0157
1596007764.219531,B990666,0.01489,0.07983,-0.98309,0.16394,0.0157
1596007764.2247272,B990671,0.01477,0.07990,-0.98315,0.16388,0.0157
1596007764.2296371,B990676,0.01465,0.07996,-0.98315,0.16382,0.0157
1596007764.2352672,B990681,0.01453,0.08002,-0.98315,0.16376,0.0157
1596007764.242249,B990686,0.01440,0.08014,-0.98315,0.16370,0.0157
1596007764.245923,B990691,0.01434,0.08020,-0.98315,0.16364,0.0157
1596007764.2505221,B990696,0.01416,0.08044,-0.98315,0.16351,0.0157
1596007764.254858,B990701,0.01410,0.08057,-0.98315,0.16345,0.0157
1596007764.261836,B990707,0.01404,0.08069,-0.98315,0.16339,0.0157
1596007764.265457,B990711,0.01398,0.08081,-0.98315,0.16339,0.0157
1596007764.2699258,B990716,0.01392,0.08087,-0.98315,0.16333,0.0157
1596007764.274896,B990721,0.01379,0.08093,-0.98315,0.16333,0.0157
1596007764.279968,B990727,0.01367,0.08093,-0.98315,0.16333,0.0157
1596007764.2852511,B990732,0.01355,0.08087,-0.98315,0.16339,0.0157
1596007764.2902558,B990737,0.01337,0.08081,-0.98315,0.16339,0.0157
1596007764.2955132,B990742,0.01324,0.08069,-0.98315,0.16345,0.0157
1596007764.300582,B990747,0.01306,0.08051,-0.98315,0.16357,0.0157
1596007764.305469,B990752,0.01288,0.08032,-0.98315,0.16370,0.0157
1596007764.310376,B990757,0.01270,0.08002,-0.98315,0.16382,0.0157
1596007764.316376,B990762,0.01251,0.07977,-0.98315,0.16394,0.0157
1596007764.321152,B990767,0.01233,0.07941,-0.98315,0.16412,0.0157
1596007764.3259158,B990772,0.01215,0.07904,-0.98315,0.16431,0.0157
1596007764.333009,B990778,0.01196,0.07861,-0.98315,0.16449,0.0157
